№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ;;;;;;;;;;;;;
4;"""Шупарський""                             ";заказник;ботанічний;695;"Борщівський район,      с.Шупарка, Шупарське л-во  кв. 14-28, 29 вид.1,2,11, лісове урочище ""Шупарка"" ";"ДП ""Чорткiвське лiсове господарство""";Постанова Ради Міністрів УРСР вiд 07.01.1987р. № 2 ;;;;;;;;;;;;;
5;"""Веселiвський""                            ";заказник;ботанічний;151;"Кременецький район,       с. Веселівка,  Бiлокриницьке  л-во, кв.31, вид.39, кв. 32, 46, 45, вид.1,2, лісове урочище ""Антонівці-Свинодебри""";"ДП ""Кременецьке лiсове господарство""";Постанова Ради Міністрів УРСР вiд 16.12.1982 р. № 617;;;;;;;;;;;;;
6;"""Довжоцький""                            ";заказник;ботанічний;105;"Шумський район, с.Башківці, Бiлокриницьке л-во, кв.64, лісове урочище ""Антонівці-Свинодебри""";"ДП ""Кременецьке лісове господарство"" ";Постанова Ради Міністрів УРСР вiд 07.01.1987р. № 2 ;;;;;;;;;;;;;
7;"""Голицький""                              ";заказник;ботанічний;60;Бережанський район, с.Гутисько, гора Голиця, схил зх. і пн.зх. експозиції;Відокремлений підрозділ національного університету біоресурсів і природокористування України „Бережанський агротехнічний інститут„;Постанова Ради Міністрів УРСР вiд 16.12.1982 р. № 617;;;;;;;;;;;;;
8;"""Урочище ""Криве""                        ";заказник;ботанічний;56;Заліщицький район, с.Касперівці, лівий схил меандри Дністра, пд. сх. частина від лісового урочища в сторону с.Городок;Касперівська сільська рада;Постанова Ради Міністрів УРСР вiд 03.08.1978 р. № 383;;;;;;;;;;;;;
;разом заказників ботанічних;8;;3487;;;;;;;;;;;;;;;;
1;"""Серетський""                           ";заказник;гідрологічний;1192;Тернопільський район, с.Плотича, с.Великий Глибочок,      с. Івачів Долішній, Зборівський район, с.Малашівці, с.Кобзарівка, с.Чернихів,      с.Глядки, с.Городище, с.Носівці, заболочена заплава р.Серет з Івачівською водоймою та фрагмент заплави р.Лопушанка;Великоглибочецька (138,6га), Івачеводолішнівська (68,8га), Плотицька (93,9га) сільські ради  Тернопільського району, Чернихівська (266,7га), Малашівська (501,9га), Городищенська (64,04га), Кобзарівська (62,10 га) сільські ради Зборівського району, Державне підприємство “Тернопільводоканал” (0,30га),  Зборівського району, приватний підприємець Бігун Богдан Костянтинович (24,96 га).;Постанова Ради Міністрів УРСР вiд 25.02.1980р . №132, із змінами затвердженими постановою Ради Міністрів УРСР вiд 12.12.1983 р. № 495;;;;;;;;;;;;;
2;"""Семикiвський""                            ";заказник;гідрологічний;164;Козівський район, с.Росоховатець, Теребовлянський район, с.Семиківці, с.Соснів, заболочена заплава р.Студинка; Ішківська сільська рада Козівського району       /49,0 га/, Семиківська сільська рада Теребовлянського району /57,0 га/, Соснівська сільська рада  Теребовлянського району /58,0 га/. ;Постанова Ради Міністрів УРСР вiд 25.02.1980 р. № 132;;;;;;;;;;;;;
;Разом заказників гідрологічних;2;;1356;;;1358;;;;;;;;;;;;;
1;"""Чистилiвський""                          ";заказник;орнітологічний;321;"Тернопільський район, с.Плотича, с.Чистилів, с.Біла,       с. В.Глибочок, мікрорайон ""Пронятин""   ";Чистилівська (26,1 га), Великоглибочецька (136,5 га), Плотицька    (26,0 га),  Білецька (18,6 га) сільські ради,  ТОВ Україна (113,8га)  ;Постанова Ради Міністрів УРСР вiд 25.02.80р . № 132;;;;;;;;;;;;;
;Разом заказників орнітологічних;1;;321;;;;;;;;;;;;;;;;
;Всього заказників загальнодержавного значення;14;;11702;;;;;;;;;;;;;;;;
1;"Урочище ""Трубчин""";пам`ятка природи;комплексна;5;Борщівський район, с.Трубчин, лівий берег р. Дністер,  400 м нижче села;Вигодська сільська рада;Розпорядження Ради Міністрів УРСР від 14.10.1975р.  № 780-р;;;;;;;;;;;;;
;Разом пам`яток природи комплексних;1;;5;;;;;;;;;;;;;;;;
1;"Урочище ""Глоди""";пам`ятка природи;ботанічна;16;"Заліщицький район, с.Колодрібка, Наддністрянське л-во, кв.56 в.28, лісове урочище ""Глоди""";"ДП ""Чорткiвське лiсове господарство""";Розпорядження Ради Міністрів УРСР від 14.10.1975р.  № 780-р;;;;;;;;;;;;;
2;"Урочище ""Заліщицька діброва в Шутроминцях""";пам`ятка природи;ботанічна;85;"Заліщицький район, с.Шутроминці, Дорогичівське  л-во, кв.23 в.1-32,   лісове урочище ""Шутроминці""";"ДП ""Бучацьке лiсове господарство""";Розпорядження Ради Міністрів УРСР від 14.10.1975р.  № 780-р;;;;;;;;;;;;;
3;"Урочище ""Подільська бучина в Іванкові""";пам`ятка природи;ботанічна;20;"Борщівський район, с.Іванків, Скала-Подільське   л-во, кв.93 в.6, кв.94 в.8, 9, кв.97 в.6, кв.98 в.1, лісове урочище ""Дача ""Скала-Подільська""";"ДП ""Чорткiвське лiсове господарство”";Розпорядження Ради Міністрів УРСР від 14.10.1975р.  № 780-р;;;;;;;;;;;;;
;Разом пам`яток природи ботанічних;3;;121;-;-;-;;;;;;;;;;;;;
1;"Печера ""Оптимістична""";пам`ятка природи;геологічна;;"Борщівський район, с.Королівка, Шупарське  л-во, кв.2 в.7,   лісове урочище ""Королівка""";Львівська міська громадська організація - спелеоклубу «Циклоп»;Розпоряддження Ради Міністрів України від 02.08.1971р. №611-р;;;;;;;;;;;;;
2;"Печера ""Озерна""";пам`ятка природи;геологічна;;Борщівський район, с.Стрілківці, серед полів;Тернопільська міська громадська організація „клуб спелеологів „Поділля„;Розпорядження Ради Міністрів УРСР від 02.08.1971 р. №611-р;;;;;;;;;;;;;
3;"Печера ""Кришталева""";пам`ятка природи;геологічна;;Борщівський район, с.Кривче, лівий схил долини р.Циганка;Тернопільський обласний комунальний центр туризму, краєзнавства, спорту та екскурсій учнівської молоді управління освіти;Розпорядження Ради Міністрів УРСР від 07.08.1963 р.  №1180-р;;;;;;;;;;;;;
4;"Печера ""Вертеба""";пам`ятка природи;геологічна;;Борщівський район, с.Більче-Золоте, в 2-х км на пн.-зх.   від села;Борщівський обласний комунальний краєзнавчий музей;Розпорядження Ради Міністрів УРСР від 02.08.1971 р. №611-р;;;;;;;;;;;;;
5;"Печера ""Ювілейна""";пам`ятка природи;геологічна;;Борщівський район,  с.Сапогів,  серед полів;Сапогівська сільська рада;Розпорядження Ради Міністрів УРСР від 02.08.1971 р. №611-р ;;;;;;;;;;;;;
6;"Печера ""Млинки""";пам`ятка природи;геологічна;;Чортківський район, с.Залісся, правий схил потічка Млинки, верхня тераса;Заліссянська сільська рада;Розпорядження Ради Міністрів УРСР від 02.08.1971 р. №611-р ;;;;;;;;;;;;;
7;"Печера ""Перлина""";пам`ятка природи;геологічна;;Гусятинський район, с.Крутилів, Краснянське л-во, кв.51 в.4;"Адміністрація природного заповідника ""Медобори""";Розпорядження Ради Міністрів УРСР від 02.08.1971 р. №611-р ;;;;;;;;;;;;;
;Разом пам`яток природи геологічних;7;;0;;;;;;;;;;;;;;;;
;Всього пам`яток природи загальнодержавного значення;11;;126;;;;;;;;;;;;;;;;
1;"""Кременецький"" ";ботанічний  сад;;200;Кременецький район, м.Кременець, вул.Ботанічна, 5;Адміністрація ботсаду Мінекології України;Постанова Ради Міністрів УРСР вiд 17.03.1990 р. № 57;;;;;;;;;;;;;
;Всього  ботанічних садів загальнодержавного значення;1;;200;;;;;;;;;;;;;;;;
1;"""Гермаківський"" ";дендрологічний парк;;56;"Борщівський район, с.Гермаківка, Гермаківське л-во, кв.15 вид.17, лісове урочище ""Дача Романського""";"ДП ""Чорткiвське лiсове господарство""";Постанова Ради Міністрів УРСР вiд 22.07.1983 р. № 311;;;;;;;;;;;;;
2;"""Хоростківський"" ";дендрологічний парк;;18;Гусятинський район, м.Хоростків, вул. Незалежності,19;Державному підприємству „Дослідне господарство „Подільське” Тернопільського інституту агропромислового виробництва НААН України ;Постанова Ради Міністрів УРСР вiд 22.07.1983 р. № 311;;;;;;;;;;;;;
;Всього дендрологічних парків загальнодержавного значення;2;;74;-;-;-;;;;;;;;;;;;;
1;"""Раївський парк""";парк - пам'ятка садово-паркового мистецтва;;20;"Бережанський район, с.Рай, Бережанське л-во, кв.24 в.2,  лісове урочище ""Рай""";Відокремлений підрозділ національного університету біоресурсів і природокористування України „Бережанський агротехнічний інститут„  Єпархіальне управління Сокальської єпархії  УГКЦ - 3,8314 га;Постанова Ради Міністрів УРСР вiд 29.01.1960 р. № 105;;;;;;;;;;;;;
2;"""Скала-Подільський парк""";парк - пам'ятка садово-паркового мистецтва;;26;"Борщівський район, смт. Скала-Подільська, територія оздоровчого комплексу ""Збруч""";"Оздоровчий комплекс  ""Збруч"", філія Тернопільського обласного закритого акціонерного товариства з туризму та екскурсій ""Тернопільтурист"", Скала-Подільська міська комунальна поліклініка - 1,2973 га";Постанова Ради Міністрів УРСР вiд 29.01.1960 р. № 105;;;;;;;;;;;;;
3;"""Більче-Золотецький парк""";парк - пам'ятка садово-паркового мистецтва;;11;Борщівський район, с.Більче-Золоте;Більче-Золотецька сільська рада;Постанова Ради Міністрів УРСР вiд 29.01.1960 р. № 105;;;;;;;;;;;;;
4;"""Вишнівецький парк""";парк - пам'ятка садово-паркового мистецтва;;8;Збаразький район, смт.Вишнівець;"Збаразький державний історико-архітектурний заповідник ""Замки Тернопілля""";Постанова Ради Міністрів УРСР вiд 29.01.1960 р. № 105;;;;;;;;;;;;;
;Всього парків пам'яток садово-паркового мистецтва загальнодержавного значення;4;;65;;;;;;;;;;;;;;;;
;Всього територій та об`єктів ПЗФ загальнодержавного значення;35;;39464,1;;;;;;;;;;;;;;;;
Території та об'єкти ПЗФ місцевого значення ;;;;;;;;;;;;;;;;;;;;
1;"""Дністровський каньйон""";регіональний ландшафтний парк;;42084;Борщівський, Заліщицький, Бучацький і Монастириський райони, пн. межа проходить вздовж автошляху між селами Діброва, Коропець, Берем'яни, Свершківці, Хмелева, Дорогичівка, Шутроминці, Нирків, Нагіряни, Торське, Глушка, Бедриківці, Городок, Синьків, Колодрібка, Устя, Мельниця-Подільська, Дзвиняч, Урожайне, Вигода, Окопи, пд. межа  - по р.Дністер;"Монастириський район -3418,06 га  Коропецька селищна , Гориглядівська, Вістрянська, Вербівська сільські  ради,                         Бучацький район - 4384,99 га Стінківська, Порохівська, Космиринська, Сновидівська, Возилівська, Миколаївська, Костільницька, Скоморохська, Русилівська, Ліщинецька, Дулібська, Жнибородська, Берем’янська, Язловецька сільські ради;  Заліщицький район - 11984,47 га   Колодрібська, Синьківська, Зозулинецька, Кулаківська,  Городоцька, Бедриківська, Касперівська, Добрівлянська, Зеленогіївська, Зозулинька, Устечківська, Іване-Золотецька, Торська, Нирківська, Дорогичівська, Литяцька, Шутроминська, Хмелівська сільські ,  Заліщицька міська ради,                                                       Борщівський район - 12435,2 га Бабинецька, Пилипчанська, Горошівська,      Іване-Пустенська, Худиківська, Вільхівецька, Дністровська, Урожайнівська, Вигодська сільські, Мельнице-Подільська селищна ради                     ";Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.08.1990 р. № 191 та вiд 29.11. 1990 р. № 273;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
2;"""Зарваницький""";регіональний ландшафтний парк;;283;"Теребовлянський район, с.Зарваниця, Бучацьке л-во, кв.15-21, лісове урочище ""Вишнівчик"", заплава р.Стрипа";" ДП ""Бучацьке лiсове господарство"" - 262,9 га,  Зарваницька сільська рада Теребовлянського району  - 8,69 га,Тернопільська єпархія Української греко-католицької церкви - 11,41 га  ";Рiшення Тернопільської обласної ради  вiд 18. 03. 1994 р.;;;;;;;;;;;;;
3.;"""Загребелля""";регіональний ландшафтний парк;;630;"м.Тернопіль, дендропарк по вул.Львівській-Бережанській, лісопарк ""Кутківці"", лісове урочище ""Пронятин"", став з намитою частиною і гребним каналом";"ДП ""Тернопільське лісове господарство” - 116,0 га, кв.15-21, лісове урочище “Пронятин”; Науково-дослідне виробниче господарство “Наука” – 29,2 га, кв.5, 6, 9, 10, 11,  лісонасадження по  вул. Львівській та Бригадній;   ВАТ “Зелене господарство” – 18,9 га , розсадник по вул. Об’їзній; Державне комунальне підприємство “Об’єднання парків культури і відпочинку  м.Тернополя” – 310,0 га, став пл. 300,0 га, гребний канал пл. 6,0 га та  намита частина (болото) пл. 4,0 га;Відділ технічного нагляду     міської ради – 115,984 га, дендропарк по вул. Львівській – Бережанській  пл. 65,0 га, КП „Тернопільелктротранс„ - 0,1389 га,  ТОВ “ІНЕКСКОМ” –    0,87260 га /колишня насосна станція/; ПМП“Люкс”–  0,35 га /заклад громадського харчування з готелем/; Тернопільська міська рада – 26,57га  /озерце поблизу готелю   “Галичина”-  0,6 га, стадіон - 1,8 га, кафе на березі ставу по вул. Чумацькій, пляж між КП “Карнавальним"" і дальним пляжем та інші землі  пл. 24,17га      ";Рiшення Тернопільської обласної ради  вiд 18. 03. 1994 р., зі змінами, затвердженими рішенням Тернопільської обласної ради від 23.12.2005 №517;;;;;;;;;;;;;
;Всього регіональних ландшафтних парків:;3;;42997;;;;;;;;;;;;;;;;
1;"Полупанівська ""Свята гора""  ";заказник;ландшафтний;11,4;Підволочиський район,  с.Полупанівка,  пн.-сх. околиця,  схил Товтрової гряди південно-західної експозиції,  на південь від церковних споруд (ур. “Свята гора”), між церквою та лісовим урочищем “Грабовник”;Староскалатська сільська рада;Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.;;;;;;;;;;;;;
2;"""Киданецькі скелі""";заказник;ландшафтний;9,6;Збаразький район,      в 2-х км на захід від села Киданці, в межах Товтрової гряди;Киданецька сільська рада;Рішення Тернопільської обласної ради від 08.09.2006р. № 44;;;;;;;;;;;;;
3;"""Галущинецький""";заказник;ландшафтний;51;Підволочиський район, с.Галущинці, фрагмент Товтрової гряди, на південь від Галущинецького кар'єру, схил пд.-зх. експозиції;Галущинецька сільська рада;Рiшення Тернопільської обласної ради  вiд 26.02.1999 р. № 50;;;;;;;;;;;;;
4;„Стінка Улашківська„;заказник;ландшафтний;19,5;"Чорткіський район, с. Улашківці, кв.93 в.1 Улашківське лісництво, лісове урочище „Млинівці""";ДП „Чортківське лісове господарство„;Рішення Тернопільської обласної ради від 15.12.2011р. № 1291;;;;;;;;;;;;;
5;"""Наші гаї""";заказник;ландшафтний;39,9;Тернопільський район с.В.Гаї, лісові масиви у межах населених пунктів;Великогаївська сільска рада;Рішення Тернопільської обласної ради від 17.06.2010 №990;;;;;;;;;;;;;
;Разом заказників ландшафтних;5;;131,4;;;;;;;;;;;;;;;;
1;"""Резерват клонів дуба звичайного""";заказник;лісовий;30;"Чортківський район,   с. Біла, Білецьке л-во,  кв.27 в.4-6, лісове урочище ""Білобожівка""";"ДП ""Чорткiвське лiсове господарство""";Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.;;;;;;;;;;;;;
;Разом заказників лісових;1;;30;;;;;;;;;;;;;;;;
1;"""Кизиловий гай """;заказник;ботанічний;9,6;Бережанський район, с.Божиків, х.Лози, схил північної експозиції гори Вітрова   ;Божиківська сільська рада;Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.08.1990 р. №189                                                    ;;;;;;;;;;;;;
2;"""Гутянський""";заказник;ботанічний;4,6;"Бережанський район,  с.Нараїв, кв. 33, в. 2,4 Нараївське л-во, глибока балка на захід від садиби лісництва в межах лісового урочища ""Дача Нараїв""";"ДП ""Бережанське лісомисливське господарство""";Рiшення Тернопільської обласної ради  вiд 23.12.2005 р. № 519;;;;;;;;;;;;;
3;"""Королівський""";заказник;ботанічний;11,7;"Борщівський район,    с. Сков'ятин, Шупарське л-во, кв.6 в.3, 5, 6, лісове урочище ""Королівка""";"ДП ""Чорткiвське лiсове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 19.11.1984 р. № 320    ;;;;;;;;;;;;;
4;"""Федорівський""";заказник;ботанічний;14,1;Гусятинський район, с.Федорівка, околиця,  лівий схил р. Серет;Тудорівська сільська рада;Рiшення виконавчого комітету Тернопільської обласної ради вiд 22.07.1977 р. № 360, із змінами затвердженими рішенням Тернопільської обласної ради від 27.04.2001р. №238  ;;;;;;;;;;;;;
5;"Урочище ""Пожарниця""";заказник;ботанічний;64;"Збаразький район, с.Чумалі, Збаразьке  лісництво,  кв.13 в.5-25, лісове урочище ""Пожарниця""";"ДП ""Тернопільське лiсове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.08.1990 р. № 189                                                        ;;;;;;;;;;;;;
6;"Урочище ""Чагарі кутківецькі""";заказник;ботанічний;87;"м.Тернопіль, західна околиця,  Тернопільське лісництво, кв.20, 21, лісове урочище ""Чагарі кутківецькі""";"ДП ""Тернопільське лісове господарство"" - 84,0 га, Служба автомобільних доріг в Тернопільській області - 3,0 га ";Рiшення виконавчого комітету Тернопільської обласної ради  вiд 22.07.1977 р. № 360    ;;;;;;;;;;;;;
7;"""Іванівський""";заказник;ботанічний;57;"Тернопільський район, с.Підгороднє,Тернорпільське лісництво кв.33, 34 лісового урочища ""Іванівка""";"ДП ""Тернопільське лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 22.07.1977 р. № 360    ;;;;;;;;;;;;;
8;"Урочище ""Каштелянка""";заказник;ботанічний;153;"Заліщицький район, с.Дуплиська , Заліщицьке л-во,           кв.50-52, лісове урочище ""Каштелянка"" ";"ДП ""Чорткiвське лiсове господарство""";Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.;;;;;;;;;;;;;
9;"Урочище ""Романського""";заказник;ботанічний;12,4;"Борщівський район, с.Гермаківка, Гермаківське л-во, кв.9 в.11-14, кв.14 в.21, 23, лісове урочище ""Дача Романського""";"ДП ""Чорткiвське лiсове господарство""";Рішення виконавчого комітету Тернопільської обласної ради  від 22.07.1977р. № 360;;;;;;;;;;;;;
10;"""Сапогівський""                   ";заказник;ботанічний;28;"Борщівський район,     с. Сапогів, Борщівське л-во,           кв.64 в.3 -5, кв.65           в.2-4, лісове урочище ""Турильче""";"ДП ""Чорткiвське лiсове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 22.07.1977 р. № 360    ;;;;;;;;;;;;;
11;"""Синьків""";заказник;ботанічний;10;"Заліщицький район, с.Вигода,           Заліщицьке л-во, кв.45 в.1, лісове урочище ""Синьків""";"ДП ""Чорткiвське лiсове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 22.07.1977 р. № 360    ;;;;;;;;;;;;;
12;"""Довжанський""";заказник;ботанічний;37;"Тернопільський район,  с.Підгороднє, західна околиця,   Тернопільське лісництво кв.30  лісового урочища  ""Довжанка""  ";"ДП ""Тернопільське лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 22.07.1977 р. № 360    ;;;;;;;;;;;;;
13;"""Вовковецький""";заказник;ботанічний;30,8;"Борщівський район, с.Вовківці, Борщівське  л-во, кв.57      в.1, 5, лісове урочище ""Турильче""          ";"ДП ""Чорткiвське лiсове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради від 19.11.1984 р. № 320    ;;;;;;;;;;;;;
14;"""Пищатинський""";заказник;ботанічний;18,3;" Борщівський район,  с. Вовчківці, Борщівське  л-во, кв.31         в. 1, 2, 4, 5,  лісове урочище ""Пищатинці""          ";"ДП ""Чорткiвське лiсове господарство""";Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.;;;;;;;;;;;;;
15;"Урочище  ""Колодно №1""";заказник;ботанічний;18,4;"Збаразький район,      с. Чорний ліс, Вишнівецьке л-во, кв.52 в.8, 6, кв.55 в.2, 3, 4, лісове урочище ""Чорний ліс""";"ДП ""Кременецьке лiсове господарство""";Рiшення Тернопільської обласної ради  вiд 18.03.1994 р., із змінами затвердженими рішенням Тернопільської обласної ради від 27.04.2001р. №238 ;;;;;;;;;;;;;
16;"Урочище ""Колодно №2""";заказник;ботанічний;27,9;" Збаразький район,     с. Чорний ліс,   Вишнівецьке л-во, кв.54 в.1-6, лісове урочище ""Чорний ліс""";"ДП ""Кременецьке лiсове господарство""";Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.;;;;;;;;;;;;;
17;"Урочище ""Угринів""";заказник;ботанічний;11;"Підгаєцький район, с. Угринів, Підгаєцьке        л-во, кв.50 в.22, лісове урочище ""Буда""";"ДП ""Бережанське лісомисливське господарство""";Рiшення виконавчого комітету Тернопільської обласної ради  вiд 30.08.1990 р. № 189                                                        ;;;;;;;;;;;;;
18;"Урочище ""Вивірки""";заказник;ботанічний;8;"Підгаєцький район, с.Завалів,           Завалівське л-во,   кв.8 в.7, лісове урочище ""Вивірки""";"ДП ""Бережанське лісомисливське господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.08.1990 р. № 189                                                        ;;;;;;;;;;;;;
