;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
1;Хапхальський;заказник;гідрологічний;250;м. Алушта, Сонячногірське л-во, кв. 9-11;ДП «Алуштинське ЛГ»;Пост. РМ УРСР від 28.10.1974 р. № 500
;Разом заказників гідрологічних;1;;250;;;
1;Качинський каньйон;заказник;геологічний;100;Бахчисарайській р-н Михайлівське л-во долина р. Кача кв. 55-57,61;ДП «Бахчисарайське ЛГ»;Пост. РМ УРСР від 28.10.1974 р. № 500
2;Гірський карст Криму;заказник;геологічний;4316;Білогірський р-н, Новокленівське л-во, Привітнінське л-во;ДП «Білогірське ЛГ»     ДП «Алуштинське ЛГ»   ДП «Судакське ЛМГ»;Пост. РМ УРСР від 13.02.1989 р.№ 53
;Разом заказників геологічних;2;;4416;;;
;Всього заказників загальнодержавного значення;14;;73957.7;;;
1;Агармишський ліс;пам`ятка природи ;комплексна;40;м. Старий Крим, Старокримське л-во, кв. 13;ДП «Старокримське ЛГ»;Пост. РМ УРСР від 14.10.1975 р. № 780-р
2;Бельбекський каньон;пам`ятка природи ;комплексна;100;Бахчисарайський р-н, долина р. Бельбек                     с. Танкове;ВАТ агрофірма ім. Іліча;Пост. РМ УРСР від 14.10.1975 р. № 780-р
3;Гора Ак-Кая;пам`ятка природи ;комплексна;30;Білогірський р-н,с. Біла Скеля;Вишенська с/р;Пост. РМ УРСР від 30.03.1981 р.№ 145
4;Гора Кішка;пам`ятка природи ;комплексна;50;м. Ялта, смт. Сімеїз;Сімеїзська с/р;Пост. РМ УРСР від 21.03.1984 р. № 139
5;"Гірський масив ""Караул-Оба""";пам`ятка природи ;комплексна;100;Судакський р-н,с. Новий світ,Морське л-во, кв. 45;ДП «Судакське ЛМГ»;Пост. РМ УРСР від. 14.10.1975 р. № 780-р
6;"Гора останец ""Мангуп-Кале""";пам`ятка природи ;комплексна;90;Бахчисарайській р-н,с. Залісне;Бахчисарайський державний історико-культурний заповідник;Пост. РМ УРСР від.14.10.1975 р. № 780-р
;Разом пам`яток природи комплексних;6;;410;;;
1;Гора Кара-Тау;пам`ятка природи ;ботанічна;100;м. Алушта с. Генеральське Сонячногірське л-во, кв.75;ДП «Алуштинське ЛГ»;Пост. РМ УРСР від.30.03.1981 р.№145
2;Карабі-яйлинська котловина;пам`ятка природи ;ботанічна;32;Білогірський р-н, с. Новокленівка, Новокленівське л-во, кв.75,   східна частина Карабі-Яйли;ДП «Білогірське ЛГ»;Пост. РМ УРСР від. 14.10.1975 р. № 780-р
;Разом пам`яток природи ботанічних;2;;132;;;
1;"Урочище ""Карасу-Баші""";пам`ятка природи ;гідрологічна;24;Білогірський р-н ,с. Новокленівка, Новокленівське л-во, кв.14;ДП «Білогірське ЛГ»;Пост. РМ УРСР від 14.10.1975 р. № 780-р
;Разом пам`яток природи гідрологічних;1;;24;;;
1;Кизил-Коба;пам`ятка природи ;геологічна;33;Сімферопольський р-н, с. Перевальне ;Підприємство «Кизил- Коба»;Пост. РМ УРСР від 07.08.1963 р. № 1180-р
2;"Сопка ""Джау-Тепе""";пам`ятка природи ;геологічна;10;Ленінський р-н, с. Вулканівка;Кіровська с/р;Пост. РМ УРСР від 14.10.1975 р. № 780-р
3;"Урочище""Демерджи""";пам`ятка природи ;геологічна;20;м. Алушта, с. Лучисте,Алуштинське л-во, кв. 38;ДП «Алуштинське ЛГ»;Пост. РМ УРСРвід 30.03.1981 р.№ 145
4;Карстова шахта Солдатська;пам`ятка природи ;геологічна;10;Привітненьське л-во,кв. 48;ДП «Судакське ЛМГ»;Пост. РМ УРСРвід 14.10.1975 р. № 780-р
;Разом пам`яток природи геологічних;4;;73;;;
;Всього пам`яток природи загальнодержавного значення;13;;639;;;
1;Нікітський ботанічний сад;ботанічний сад;;876.6;м. Ялта, сел. Нікіта;УААН;Пост. РМ УРСР від  14.10.1975 р. № 780-р
;Всього ботанічних садів загальнодержавного значення;1;;876.6;;;
1;Алупкінський;парк-пам`ятка садово-паркового мистецтва;;30.95;98676 м. Ялта,м. Алупка,Шоссе Дворцовое, 10;;"Пост.колегії Держкомприроди УССР від 22.07.1972 р.;Пост.Держкомитета Української ССР з екології та рац.природ. від 30.08.1990 р. № 18"
2;Гурзуфський;парк-пам`ятка садово-паркового мистецтва;;12;98640м. Ялта, с. Гурзуф,вул.. Ленінградська, 10;;Пост. РМ УРСР від 29.01.1975р. № 105
3;Кіпарісний;парк-пам`ятка садово-паркового мистецтва;;9;м. Ялта, сел. Гурзуф;;Пост. РМ УРСР від 29.01.1975 р. № 105Пост.колегії Держкомітет УССР з охорони природи від 22.07.1972 р.
4;Лівадійський;парк-пам`ятка садово-паркового мистецтва;;40.1;м. Ялта,сел. Лівадія;;Пост. РМ УРСР від 29.01.1960 р. № 105
5;Масандрівський;парк-пам`ятка садово-паркового мистецтва;;44.1;м. Ялта, сел. МасандраМасандрівський паркб. 40;;Пост. РМ УРСР від 29.01.1960 р. № 105
6;Місхорський;парк-пам`ятка садово-паркового мистецтва;;23;98600 м. Ялта, Парковий проїзд, _;;Пост. РМ УРСР від 29.01.1960 р. № 105Пост. Держком.УССР з екол та раціон.природоп. від 30.08.1990 р.  № 18
7;Утьос-Карасан;парк-пам`ятка садово-паркового мистецтва;;23;м. Алушта, сел. Утьос;;Пост. РМ УРСР від 29.01.1960 р. № 105
8;Фороський;парк-пам`ятка садово-паркового мистецтва;;70;98690 м. Ялта, сел. Форос;;Пост. РМ УРСР від 29.01.1960 р. № 105
9;Харакський;парк-пам`ятка садово-паркового мистецтва;;15;98662 м. Ялта, сел. Гаспра-2;;Пост. РМ УРСР від.29.01.1975 р. № 105
;Всього парків-пам`яток садово-паркового мистецтва загальнодержавного значення;9;;267.15;;;
;Всього територій та об`єктів ПЗФ загальнодержавного значення;44;;150495.52;;;
Території та об’єкти місцевого значення;;;;;;;
1;Калинівський;Регіональний ландшафтний парк;;12000;Джанкойський р-н ,с. Прозрачне;"Азовський ЛГЗ-4108, Акваторія оз. Сиваш -5583; Джанкойське СТПУ-48 – 2309;";Пост. ВР АРК від. 16.02.2000р. № 913-2/2000
2;Бакальська коса;Регіональний ландшафтний парк;;1520;Роздольненський р-н с. Стерегуще;ДП «Роздольненське ЛГ»;Пост. ВР АРК від. 16.02.2000 р. № 913-2/2000
3;Караларський;Регіональний ландшафтний парк;;6806;Ленінський р-н, сел. Багерове,с. Золоте,с. Чистопілля;;Постанова ВР АРК від 20.06.2007 р. № 509-5/07 «Про створення рег.ланд.парка «Карал.» в АРК
4;«Тиха бухта»;Регіональний ландшафтний парк;;1508;м. Феодосія, сел. Орджонікідзе,с. Насипне,сел. Коктебель;Орджонікідзівська с/р, Насипновська с/р, Коктебельська с/р ;Постанова ВР АРК від 19.12.2007 р. № 708-5/07
5;«Лисяча бухта Ечкі-Даг»;Регіональний ландшафтний парк;;1561;м. Судак,м. Феодосія ;Сонечнодолинська с/р, Щебетівська с/р;Постанова ВР АРК від 17.09.2008 р. № 950-5/08
6;«Воздухоплавний  комплекс «Узун-Сирт, гора Клементьева»;Регіональний ландшафтний парк;;840;с. Первомайське (Кіровський р-н),              с. Насипне, с. Коктебель     (м. Феодосія);Первомайська с/рНасипновська с/рКоктебельський с/р;Постанова ВР АРК від 22.09.2010 р. № 1883-5/10
7;«Научний»;Регіональний ландшафтний парк;;965;Бахчисарайський р-н, на території ДП «Бахчисарайське ЛГ» у с. Научне;;Пост. ВР АРК від 21.12.2011 р.       №643-6/11
8;«Біла скеля»;Регіональний ландшафтний парк;;2256;Білогірський р-н, за межами населених пунктів Вішенського, Василівського, Мічурінської сільських рад;;Пост. ВР АРК від 21.12.2011 р.       №643-6/11
9;«Бахчисарай»;Регіональний ландшафтний парк;;10300;Бахчисарайський р-н, за межами населених пунктів;ДП «Бахчисарайське ЛГ», ДП «Куйбмшівське ЛГ» КРУ «Бахчисарайський історико-культурний заповідник»;Пост. ВР АРК від 21.12.2011 р.       №643-6/11
10;«Урочище Кізіл-Коба»;Регіональний ландшафтний парк;;102;Сімферопольський р-н, за межами начселених пунктів Добровської сільської ради на західному схилі Долгоруківського карстоаого масиву у верхів’ях р. Червонопечерної;;Пост. ВР АРК від 21.12.2011 р.       №643-6/11
11;"""Донузлав""";Регіональний ландшафтний парк;;2335;;;Постанова ВР АРК від 27.02.2013 №1196-6/13
12;"""Мис Такіль""";Регіональний ландшафтний парк;;850;;;Постанова ВР АРК від 27.02.2013 №1196-6/13
13;"""Бітак""";Регіональний ландшафтний парк;;55;;;Постанова ВР АРК від 27.02.2013 №1196-6/13
14;"""Атлеш""";Регіональний ландшафтний парк;;260;;;Постанова ВР АРК від 27.02.2013 №1196-6/13
;Всього регіональних ландшафтних парків;14;;41358;;;
1;Джангульський зсувне узбережжя;заказник;ландшафтний;100;Чорноморський р-н ,с. Оленівка;Оленівська с/р;Рішення Облвиконкому від. 20.05.1980 р.№ 353
2;Ділянка степу ус. Клепиніне;заказник;ландшафтний;3;с. Клепиніно;Кримська ДСГОС;РішенняОблвиконкомувід. 15.04.1986 р. № 156
3;Ділянка степу у с. Сонячне;заказник;ландшафтний;5;Симферопольський р-н, с. Сонячне;Молодіжненська с/р;Рішення Облвиконкому від. 15.04.1986 р.№ 156
4;Цилінний степ у с. Григор'ївка;заказник;ландшафтний;208;Красногвардійський р-н, с. Григор'ївка;Янтарненська с/р;Пост. ВР АРК від. 16.02.2000 р. № 913-2/2000
5;Ай-Петринська яйла;заказник;ландшафтний;1795;ДП «Куйбишевське ЛГ», Соколінське лісництво кв. 54, 55, 59-65, 72, 75, 76, 81, 83;ДП «Куйбишевське ЛГ»;Пост. ВР АРК від. 22.12.2010 р. № 126-6/10
6;Карабі-Яйла;заказник;ландшафтний;2829;ДП «Білогірське ЛГ», Новокленівське лісництво кв. 69-73, 76-78, 80-83, 92-99, 102-105, 109-114 ;ДП «Білогірське ЛГ»;Пост. ВР АРК від. 22.12.2010 р. № 126-6/10
7;Джемерджи яйла;заказник;ландшафтний;2076;ДП «Алуштинське ЛГ» кв. 12-19, 37-40;ДП «Алуштинське ЛГ»;Пост. ВР АРК від. 21.12.2011 р. № 643-6/11
8;Сасикський;заказник;ландшафтний;5000;Сакський р-н за межами населених пунктів Лесновської, Охотніковської, Суворівської сільських рад;ДП «Євпаторійське ЛГ»;Пост. ВР АРК від. 21.12.2011 р. № 643-6/11
9;Осовинський степ;заказник;ландшафтний;3472;Ленінський р-н, за межами населених пунктів Войковської і Глазовської сільських рад;;Пост. ВР АРК від. 21.12.2011 р. № 643-6/11
10;Степова ділянка у селі Шкільне;заказник;ландшафтний;224;Сімферопольський район, у селі Шкільне, за межами населених пунктів Родніковської та Скворцовської селищних рад;;Пост. ВР АРК від. 21.12.2011 р. № 643-6/11
11;Долгоруківська яйла;заказник;ландшафтний;2130;Сімферопольський район, за межами населених пунктів Добровської мільської ради;;Пост. ВР АРК від. 21.12.2011 р. № 643-6/11
;Разом заказників ландшафтних;11;;17842;;;
1;Зелене коло;заказник;лісовий;172;Ленінський р-н, сел. Леніне;ДП «Ленінське ЛГ»кв. 2-4;Рішення Облвиконкому від. 20.05.1980 р.№ 353
;Разом заказників лісових;1;;172;;;
1;Тирке;заказник;ботанічний;1500;"Сімферопольський р-н  с. Перевальне, Перевальнинське л-во кв. 6-12,14,27,28–921гаБілогорський р-н: Красногірське л-во, кв.71 – 171 га;Міжгірське л-во, кв.43-45 - 408 га;";ДП«Симферопольське ЛМГ»;Рішення Облвиконкому від. 11.11.1979 р. № 617
2;Урочище Парагільмєн;заказник;ботанічний;225;м. Алушта, с. Малий Маяк,Запруднинське л-во кв.8, 10, 11, 13;ДП «Алуштинське ЛГ»;Рішення Облвиконкомувід. 11.11.1979 р. № 617
3;Кастель;заказник;ботанічний;150;м. Алушта, с. Малий Маяк, Алуштинське л-во, кв. 70,71;ДП «Алуштинське ЛГ»;Рішення Облвиконкому від. 11.11.1979 р. №  617
4;Михайлівський;заказник;ботанічний;145;Бахчисарайський р-н с. Долинне, Михайлівське л-во, кв. 7,8,13,16,24-30;ДП «Бахчисарайське ЛГ»;Рішення Облвиконкому від. 11.11.1979 р. № 617
5;Бельбекський тисовий гай;заказник;ботанічний;20;Бахчисарайський р-н сел. Куйбишеве, Куйбишевське л-во кв.12;ДП «Куйбишевське ЛГ»;Рішення Облвиконкому від. 20.05.1980 р. № 353
6;Ділянка степу на Тарханкутському півострові;заказник;ботанічний;100;Чорноморський р-н, с. Красносільське,Окунівська с/р;"к-п ""Шлях Леніна""";Рішення Облвиконкому від. 20.05.1980 р.№ 353
7;Пожарський;заказник;ботанічний;20;Симферопольський р-н, с. Пожарське;Пожарська с/р;Рішення Облвиконкому від. 11.11.1979 р. № 617
8;Присиваський;заказник;ботанічний;1000;Ніжньогірський р-н с. Ізобільне;"р-п ""Примор'є"" КСП ""Іскра""";Рішення Облвиконкому від. 11.11.1979 р. № 617
9;Південнобережні дубрави;заказник;ботанічний;10.8;м. Ялта, сел. Нижня Ореанда;"СКО Пансіонат ""Гліцинія""";Пост. ВР АРК від. 22.10.2003 р. № 709-3/03
10;«Гірський масив Тепе-Оба»;заказник;ботанічний;1200;м. Феодосія, сел. Орджонікідзе;Орджонікідзеньська с/р;Пост. ВР АРК от 19.12.2007 р. № 708-5/07
11;Ялівцевий гай у балки Канли-Дере імені Новели Вавилової;заказник;ботанічний;64;м. Бахчисарай  у гори Бешик-Тау;;Пост. ВР АРК від. 21.12.2011 р. № 643-6/11
12;"""Папая-Кая""";заказник;ботанічний;550;;;Постанова ВР АРК від 27.02.2013 №1196-6/13
;Разом заказників ботанічних;12;;4984.8;;;
1;Озеро Чокрак;заказник;гідрологічний;1000;Ленінський р-н за межами населених пунктів Багеровської сільської ради;;Пост. ВР АРК від. 21.12.2011 р. № 643-6/11
;Разом заказників гідрологічних;1;;1000;;;
;Всього заказників місцевого значення;25;;23998.8;;;
1;Гора-відторженець Парагільмен;пам`ятка природи ;комплексна;5;м. Алушта, с. Малий Маяк, Запруднинське л-во, кв. 12;ДП «Алуштинське ЛГ»;Рішення Облвиконкому від. 15.02.1964 р.№ 92
2;"Ділянки дубовихгаїв ""Дубки"" ";пам`ятка природи ;комплексна;14;"Сімферопольський р-н, с. Партизани,Партизанське лісн., кв.89, вид.4;кв.4, вид.1";ДП «Сімферопольське ЛМГ»;Рішення Облвиконкому від 15.02.1964 р.№ 92
3;Ділянка узбережжя у с. Миколаївка;пам`ятка природи ;комплексна;5;Сімферопольський р-н с. Миколаївка;Миколаївська с/р;Рішення Облвиконкому від. 15.02.1964 р. № 92
4;Столова гора-останець Тепе-Кермен;пам`ятка природи ;комплексна;5;Бахчисарайський р-нс. Кудрино;Бахчисарайський державний історико-культурний музей;Рішення Облвиконкому від. 15.02.1964 р.№ 92
5;Бакла;пам`ятка природи ;комплексна;5;Бахчисарайський р-нс. Скалисте;КСП «ім. Чапаєва»;Рішення Облвиконкому від. 15.02.1964 р.№ 92
6;Гора-останець Шелудива;пам`ятка природи ;комплексна;5;Бахчисарайський р-нс. Прохладне;КСП «ім. Чапаєва»;Рішення Облвиконкому від. 15.02.1964 р.№ 92
7;Мис Ай-Тодор;пам`ятка природи ;комплексна;8;м. Ялта ,сел. Гаспра;"сан. Перлина – 2,1 га, Парус – 3,0 га, Дніпро - 0,5 га Ай-Тодорський Маяк, в/ч 49385 – 0,2 га, Санаторій „Дніпро"" - 0,5 гаТОВ «Ялта-Верона» - 0,117га";Рішення Облвиконкому від. 15.02.1964 р.№ 92Пост. ВР АРК від 21.05.1997 р. № 1170-1
8;Скелі-острівки Адалари;пам`ятка природи ;комплексна;1;м. Ялта, смт. Гурзуф;Гурзуфська с/р;Рішення Облвиконкому від. 15.02.1964 р.№ 92
9;Мис Плака;пам`ятка природи ;комплексна;5;м. Алушта, сел. Партеніт;Санаторій Утьос;Рішення Облвиконкому від. 15.02.1964 р.№ 92
10;Гора Лягушка;пам`ятка природи ;комплексна;5;м. Судак, с. Дачне;Дачнівська с/р;Постан. бюро Кримськ. обкома КПУ і облвиконкома від 30.01.1969 р. № 198-67
11;Ай-Серез;пам`ятка природи ;комплексна;5;"м. Судак, с. Міжріччя Морське л-во, кв.19, вид.22,23,25,26,76,44; кв.23, від.16";ДП «Судакське ЛМГ»;Рішення Облвиконкому від. 22.09.1969 р. № 634
12;Гора Крестова;пам`ятка природи ;комплексна;7;м. Ялта, сел. Ореанда;Санаторний комплекс «Дюльбер»;Рішення Облвиконкому від. 22.09.1969 р. № 634
13;Скеля Іфігенія;пам`ятка природи ;комплексна;9;м. Ялта, сел. Берегове;Сімеїзська с/р;Пост. ВР АРК від 21.05.1997 р.№ 1170-1
14;Урочище «Гора Болгатура»;пам`ятка природи ;комплексна;1.9;м. Ялта, сел. Гурзуф;ТОВ «Флора Сервіс»;Пост. ВР АРК від 19.05.2005 р. № 1316-4/05
15;«Півострів Меганом»;пам`ятка природи ;комплексна;651.591;м. Судак, с. Сонячна Долина ;Сонячнодолинська с/р;Пост. ВР АРК от 19.12.2005 р. № 708-5/07
;Разом пам`яток природи комплексних;15;;732.491;;;
1;Гай яливцю високого в р-ні Семідвір'я;пам`ятка природи ;ботанічна;5;м. Алушта, с. Семідвір'є Алуштинське л-во, кв. 53 вид. 18;ДП «Алуштинське ЛГ»;Рішення Кримського Облвиконкому від 15.02.1964 р. № 92
2;Дуб-Богатир Тавриди;пам`ятка природи ;ботанічна;0.067;м. Сімферополь, Міський Дитячий парк;Сімфероп. дитячий оздоровч. екол. центр;Рішення Облвиконкому від. 22.02.1972 р. № 97
3;П'ятистовбуровий каштан;пам`ятка природи ;ботанічна;0.0323;м. Сімферополь, вул. Фрунзе, 30;Київська райрада м. Сімферополь;Рішення Облвиконкому від. 22.02.1972 р. № 97
4;Суворовський дуб;пам`ятка природи ;ботанічна;0.09;Білогірський р-н, с. Яблучне;"р-з ""Предгор'є""";Пост. ВР АРК від 21.05.1997 р. № 1170-1
5;Суничник НБС;пам`ятка природи ;ботанічна;;м. Ялта, смт. Нікіті, НБС-ННЦ, нижче та на схід від наукового корпусу;НБС-ННЦ;Пост. ВР АРК від. 21.12.2011 р. № 643-6/11
6;Фісташка НБС;пам`ятка природи ;ботанічна;;м. Ялта, смт. Нікіті, НБС-ННЦ, у 20 метрах нижче наукового корпусу у Верхньому парку;НБС-ННЦ;Пост. ВР АРК від. 21.12.2011 р. № 643-6/11
7;Олива НБС;пам`ятка природи ;ботанічна;;м. Ялта, смт. Нікіті, НБС-ННЦ, у нижній частині Верхнього парку;НБС-ННЦ;Пост. ВР АРК від. 21.12.2011 р. № 643-6/11
8;Тис Лесі Українки;пам`ятка природи ;ботанічна;;м. Ялта, смт. Масандра, Масандрівський парк;Державна адміністрація Лівадійського, Масандрівського, Місхорського парків-пам’яток садово-паркового мистецтва загальнодержавного значення;Пост. ВР АРК від. 21.12.2011 р. № 643-6/11
9;Дуб-релікт бельбекських дібров;пам`ятка природи ;ботанічна;;Бахчисарайський р-н, за межами населених пунктів Куйбишевської сільської ради, 1 км східніше с. Куйбишеве;Куйбишевська селищна рада;Пост. ВР АРК від. 21.12.2011 р. № 643-6/11
10;Шовковиця Гіреїв;пам`ятка природи ;ботанічна;;м. Бахчисарай, вул. Східна, 10, на території кухонного двору Бахчисарайського ханського палацу;КРУ «Бахчисарайський історико-культурний заповідник»;Пост. ВР АРК від. 21.12.2011 р. № 643-6/11
11;Священний гай Балта-Тиймез;пам`ятка природи ;ботанічна;;м. Бахчисарай, на території старого Караїмського кладовища Балта-Тиймез у верхів’ях балки Мар’ям-дере;КРУ «Бахчисарайський історико-культурний заповідник»;Пост. ВР АРК від. 21.12.2011 р. № 643-6/11
12;Горіх Пузанова;пам`ятка природи ;ботанічна;;Бахчисарайський р-н, с. Верхоріччя, вул. 8-го Березня, 18;гр. Павлюкова;Пост. ВР АРК від. 21.12.2011 р. № 643-6/11
13;Фісташка Юстиніана;пам`ятка природи ;ботанічна;;м. Ялта, с. Гаспра, мис Ай-Тодор;ВЧ А4014а;Пост. ВР АРК від. 21.12.2011 р. № 643-6/11
14;Платан пам’ять Алустона;пам`ятка природи ;ботанічна;;м. Алушта, 200 м від моря і від річки Демерджинка у парку ;Алуштинська міська рада;Пост. ВР АРК від. 21.12.2011 р. № 643-6/11
15;Горіх Юрія Нікуліна;пам`ятка природи ;ботанічна;;м. Алушта, с. Лучмсте, на території Долини привидів у підніжжя гори Демерджи.;ДП «Алуштинське лісове господарство»;Пост. ВР АРК від. 21.12.2011 р. № 643-6/11
16;Суничник Єни;пам`ятка природи ;ботанічна;;м. Ялта, За межами населених пунктів Лівадійської селищної ради в районі с. Ореанда на горі Ай-Нікола у 20 м праворуч від Курчатовської туристичної стежки;Ялтинський гірсько-лісовий природний заповідник;Пост. ВР АРК від. 21.12.2011 р. № 643-6/11
17;Нескорений;пам`ятка природи ;ботанічна;;м. Алушта, сел. Малий Маяк, ЗАТ «Санаторій «Утьос»;ЗАТ «Санаторій «Утьос»;Пост. ВР АРК від. 21.12.2011 р. № 643-6/11
18;Дуб Дулицького;пам`ятка природи ;ботанічна;;М. Сімферополь, територія Дитячого парку;Сімферопольський дитячий освітньо-екологічний центр Сімферопольської міськради;Пост. ВР АРК від. 21.12.2011 р. № 643-6/11
19;Ялівець Шумера;пам`ятка природи ;ботанічна;;;;Постанова ВР АРК від 27.02.2013 №1196-6/13
20;Ялівець майора Селіхова;пам`ятка природи ;ботанічна;;;;Постанова ВР АРК від 27.02.2013 №1196-6/13
21;Ялівець Фортунатова;пам`ятка природи ;ботанічна;;;;Постанова ВР АРК від 27.02.2013 №1196-6/13
22;Ялівець героїв Судакського десанту;пам`ятка природи ;ботанічна;;;;Постанова ВР АРК від 27.02.2013 №1196-6/13
23;Ялівець Шафера;пам`ятка природи ;ботанічна;;;;Постанова ВР АРК від 27.02.2013 №1196-6/13
24;Ялівець Ягунова;пам`ятка природи ;ботанічна;;;;Постанова ВР АРК від 27.02.2013 №1196-6/13
25;Платан Романтика;пам`ятка природи ;ботанічна;;;;Постанова ВР АРК від 27.02.2013 №1196-6/13
26;Фісташка Чехова;пам`ятка природи ;ботанічна;;;;Постанова ВР АРК від 27.02.2013 №1196-6/13
27;Фісташка Ліпи;пам`ятка природи ;ботанічна;;;;Постанова ВР АРК від 27.02.2013 №1196-6/13
28;Шовковиця Резніченко;пам`ятка природи ;ботанічна;;;;Постанова ВР АРК від 27.02.2013 №1196-6/13
29;Самшит вічнозелений;пам`ятка природи ;ботанічна;;;;Постанова ВР АРК від 27.02.2013 №1196-6/13
30;Платан Східний;пам`ятка природи ;ботанічна;;;;Постанова ВР АРК від 27.02.2013 №1196-6/13
;Разом пам`яток природи ботанічних;30;;5.1893;;;
1;"ПАК у гірського масиву ""Караул-ОбаКараул-Оба""";пам`ятка природи ;гідрологічна;90;м. Судак, сел. Новий Світ Морське л-во;Новосвітська с/р;Рішення Облвиконкому від. 22.02.1972 р. № 97
2;ПАК у гориАю-Даг;пам`ятка природи ;гідрологічна;150;м. Алушта, сел. Партеніт, Запрудниньське л-во кв. 32;ДП «Алуштинське ЛГ»;Рішення Облвиконкому від 22.02.1972 р.№ 97
3;ПАК між сел. Новий Світ і Судаком;пам`ятка природи ;гідрологічна;120;м. Судак, Судакське л-во;ДП «Судакське ЛМГ»;Рішення Облвиконкому від 22.02.1972 р. № 97
4;ПАК у мису Чауда;пам`ятка природи ;гідрологічна;90;Ленінський р-н,с. Ярке ;Чаудинське мисливське  - господарство   товариської організації «ВВОО»;Рішення Облвиконкому від 22.02.1972 р. № 97
5;ПАК у мису Карангат;пам`ятка природи ;гідрологічна;150;Ленінський р-н, с. Ярке;Чаудинське мисливське  - господарство   товариської організації «ВВОО»;Рішення Облвиконкому від 22.02.1972 р. № 97
6;"  ПАК у мису Опук та островів ""Скелі-Кораблі""";пам`ятка природи ;гідрологічна;150;Ленінський р-н, с. Мар’ївка,с. Борисівка;Опукский природний заповідник;Рішення Облвиконкому від 22.02.1972 р. № 97
