№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
;Разом заказників ботанічних;1;;352;;;
5;Казява;заказник;загальнозоологічний;1859;Новоград-Волинський р-н, ДП «Городницький лісгосп», Броницьке лісництво, кв.11, 12, 13, 17, 18, 19, 20, 21, 22, 27, 28, 29, 30, 31, 35, 36;ДП «Городницький лісгосп»  ;Постанова РМ УРСР від 25. 02. 1980 р. №132
6;Кутне;заказник;загальнозоологічний;922;Овруцький р-н, ДП “Овруцький спецлісгосп”,  Борутинське лісництво, кв. 49, 57, 58, 59, 60, 61, 62, 63, 64; ДП “Овруцький спецлісгосп”  ;Постанова РМ УРСР від 12.12.1983 р. № 495
;Разом заказників загальнозоологічних;2;;2781;;;
7;Часниківський;заказник;орнітологічний ;612;Ємільчинський р-н, ДП “Ємільчинське ЛГ”, Кочичинське лісництво, кв. 45, 46, 47, 53, 45, 55; ДП “Ємільчинське ЛГ”;Постанова РМ УРСР від 25.02.1980 р. № 132
;Разом заказників орнітологічних;1;;612;;;
8;Дідове озеро;заказник;гідрологічний;294;Овруцький р-н, ДП “Словечанське ЛГ”, Кованське лісництво, кв. 11, 12, 13, 14; ДП “Словечанське ЛГ”  ;Постанова РМ УРСР від 25.02.1980 р. № 132
9;Забарський;заказник;гідрологічний;1095;Ємільчинський р-н, ДП “Ємільчинське ЛГ”, Глумчанське лісництво, кв. 1, 2, 3, 6, 7, 8, 12, 18, 19; ДП “Ємільчинське ЛГ”  ; Постанова РМ УРСР від 25.02.1980 р. № 132
10;Червоновільсь-кий;заказник;гідрологічний;805;Новоград-Волинський р-н, ДП “Городницьке ЛГ”, Червоновільське лісництво, кв. 1, 2, 3, 5, 6, 7, 12, 13; ДП “Городницьке ЛГ”;Постанова РМ УРСР від 25.02.1980 р. № 132
;Разом заказників гідрологічних;3;;2194;;;
;Всьго заказників загальнодержавного значення ;10;;6757;;;
1;Корніїв;пам`ятка природи;ботанічна;15;Овруцький р-н, ДП “Словечанське ЛГ”, Кованське лісництво, кв.37; ДП “Словечанське ЛГ”    ;Розпорядження РМ УРСР від 14.10.1975р. № 780-Р
2;Модрина;пам`ятка природи;ботанічна;36;Новоград-Волинський р-н, ДП “Городницьке ЛГ” , Дзержинське лісництво, кв.28; ДП “Городницьке ЛГ”;Розпорядження РМ УРСР від 07.08.1963р. № 1180-Р
;Всього пам`яток природи загальнодержавного значення;2;;51;;;
1;Ботанічний сад Житомирського національного агроекологічного університету ;ботанічний сад;;35,4;м. Житомир, вул. Корольова, 39 та хутір “Затишшя”;Житомирський національний агроекологічний  університет ;Розпорядження РМ УРСР від 07.08.1963 р. № 1180-Рі Постанова КМУ від 12.10.1992 р.  № 584
;Всього ботанічних садів загальнодержавного значення;1;;35,4;;;
1;Верхівнянський;парк-пам`ятка садово-паркового мистецтва;;33,7;Ружинськнй р-н, с. Верхівня; Верхівнянська філія Житомирського агротехнічного коледжу;Постанова РМ УРСР від 29.01.1960 р. № 105
2;Городницький;парк-пам`ятка садово-паркового мистецтва;;21;Новоград-Волинський р-н, ДП “Городницьке ЛГ”,  Городницьке лісництво, кв. 65; ДП “Городницьке ЛГ”  ;Постанова РМ УРСР від 29.01.1960 р. № 105
3;Івницький;парк-пам`ятка садово-паркового мистецтва;;14;Андрушівський р-н, ДП “Коростишівське ЛГ”, Івницьке лісництво, кв. 82; ДП “Коростишівське ЛГ”;Постанова РМ УРСР від 29.01.1960 р. № 105
4;Новочорторийський;парк-пам`ятка садово-паркового мистецтва;;19,2;Любарський р-н, с. Нова Чортория;Новочорторийський  державний аграрний технікум;Постанова РМ УРСР від 29.01.1960 р. № 105
5;Трощанський;парк-пам`ятка садово-паркового мистецтва;;31,9;Чуднівський район, с. Троща, ДП “Дзержинський лісгосп АПК”, кв. 56; ДП “Дзержинський лісгосп АПК”;Постанова РМ УРСР від 29.01.1960р. № 105
;Всього парків-пам`яток садово-паркового мистецтва загальнодержавного значення;5;;119,8;;;
;Всього територій та об`єктів ПЗФ загальнодержавного значення;20;;57940,04;;;
Території та об`єкти місцевого значення;;;;;;;
1;Гамарня ;заказник;ландшафтний;1131;Малинський р-н, ДП “Малинське ЛГ”, Слобідське лісництво, кв.40, 41, 42, 43; ДП “Малинське ЛГ”;Рішення облвиконкому від 03.12.1982 р. №489
2;Древлянський;заказник;ландшафтний;9182,76;"Народицький район, ДП «Народицький спецлісгосп»;                      ДП «Народицький лісгосп АПК», Базарське л-во; землі запасу Базарської с/р; землі запасу Межиліської с/р";ДП «Народицький спецлісгосп»,                        ДП «Народицький лісгосп АПК», Базарська с/р, Межиліська с/р;"Рішення 8 сесії обласної ради п’ятого скликання від 05.04.07 № 191 «Про утворення об’єкту природно-заповідного фонду місцевого значення»;  уточнено площу заказника рішенням 8 сесії Житомирської обласної ради шостого скликання від 15.12.11 №373 «Про створення нових та уточнення площ існуючих об’єктів природно-заповідного фонду місцевого значення, про зміну користувача заповідного об’єкта»"
3;Миколинці;заказник;ландшафтний;723;ДП «Ємільчинський лісгосп АПК», Барашівське л-во, кв. 84-87, 100, 101, 104;ДП «Ємільчинський лісгосп АПК»;Рішення 15 сесії обласної ради п’ятого скликання від 26.06.08  № 595 «Про утворення об’єктів природно-заповідного фонду місцевого значення»
4;Глушець;заказник;ландшафтний;944;Овруцький р-н, ДП «Словечанський лісгосп АПК», Овруцьке лісництво, квартали 1,2;ДП «Словечанський лісгосп АПК»;Рішення 20 сесії обласної ради п’ятого скликання від 28.05.09  № 819 «Про утворення об’єктів природно-заповідного фонду місцевого значення»
5;Калинка ;заказник;ландшафтний;55;Малинський р-н, ДП “Малинське ЛГ”, Любовицьке лісництво, квартал 13;ДП “Малинське ЛГ”;Рішення 21 сесії обласної ради п’ятого скликання від 09.09.09  № 883 «Про утворення та розширення  об’єктів природно-заповідного фонду місцевого значення»
6;Раївка ;заказник;ландшафтний;206,5;Радомишльський р-н, ДП «Радомишльське ЛМГ»,Білківське лісництво, кв. 90 (вид. 4,6,7,8), кв. 91 (вид. 2-18), кв. 92 (вид. 4,10,17,19), кв. 93 (вид. 2-18), кв. 94, кв. 95, кв. 98 (вид. 10-12);ДП «Радомишльське ЛМГ»;Рішення 21 сесії обласної ради п’ятого скликання від 09.09.09  № 883 «Про утворення та розширення  об’єктів природно-заповідного фонду місцевого значення»
7; „Березовий гай”;заказник;ландшафтний;234;Радомишльський р-н, ДП «Радомишльське ЛМГ», Потіївське лісництво, кв. 1-6;ДП «Радомишльське ЛМГ»;Рішення 21 сесії обласної ради п’ятого скликання від 09.09.09  № 883 «Про утворення та розширення  об’єктів природно-заповідного фонду місцевого значення»
8;Полігон;заказник;ландшафтний;2293,3;"Коростенський р-н, ДП «Коростенське ЛМГ», Бехівське лісництво, кв. 114-136 (крім кварталу 116, вид. 19; кварталу 117, вид. 14; кварталу 123, вид. 19 та кварталу 124, вид. 2)";ДП «Коростенське ЛМГ»;Рішення двадцять шостої сесії Житомирської обласної ради п’ятого скликання від 08.09.10 №1163 «Про утворення об’єктів природно-заповідного фонду місцевого значення»
9;Михайловичі;заказник;ландшафтний;139,6;Коростенський р-н, ДП «Коростенське ЛМГ», Бехівське л-во, кв. 16 (вид. 16-18) – 18, 26, 28;ДП «Коростенське ЛМГ»;Рішення 17 сесії обласної ради п’ятого скликання від 14.11.08  № 665 «Про утворення об’єктів природно-заповідного фонду місцевого значення
10;Пилипівка;заказник;ландшафтний;54,9;Житомирський р-н, ДП «Житомирський лісгосп», Пилипівське лісництво, кв. 38;ДП «Житомирський лісгосп»;Рішення 8 сесії Житомирської обласної ради шостого скликання від 15.12.11 №373 «Про створення нових та уточнення площ існуючих об’єктів природно-заповідного фонду місцевого значення, про зміну користувача заповідного об’єкта»
11;Здрівля;заказник;ландшафтний;67,9;Малинський район, ДП «Малинський лісгосп», Малинське лісництво, кв. 64 (площа 58 га), кв. 63, вид. 10, 13, 14 (площа 9,9 га);ДП «Малинський лісгосп»;Рішення IX сесії Житомирської обласної ради VI скликання від 22.03.12 № 503 «Про створення нових та уточнення площі існуючого об’єкта природно-заповідного фонду місцевого значення»
12;Багно;заказник;ландшафтний;36,2;Малинський район, ДП «Малинський лісгосп АПК», Ворсівське лісництво, кв. 8, вид. 53 - 66;ДП «Малинський лісгосп АПК»;Рішення IX сесії Житомирської обласної ради VI скликання від 22.03.12 № 503 «Про створення нових та уточнення площі існуючого об’єкта природно-заповідного фонду місцевого значення»
13;Федорівський;заказник;ландшафтний;557;Новоград-Волинський район, ДП «Новоград-Волинське ДЛМГ», Новоград-Волинське лісництво, кв. 78 (площа 49 га), кв. 79 (площа 50 га), кв. 80 (площа 48 га), кв. 81 (площа 51 га), кв. 82 (площа 30 га), кв. 89 (площа 64 га), кв. 90 (площа 58 га), кв. 91 (площа 53 га), кв. 92 (площа 47 га), кв. 93 (площа 56 га), кв. 94 (площа 51 га).;ДП «Новоград-Волинське ДЛМГ»;Рішення XII сесії Житомирської обласної ради VI скликання від 22.11.12 № 718 «Про створення нових і зміну меж існуючих  об’єктів природно-заповідного фонду місцевого значення»
14;Пікельський;заказник;ландшафтний;128;"Новоград-Волинський район, ДП «Новоград-Волинське ДЛМГ», Пищівське лісництво, кв. 33, вид. 6 (площа 0,7 га), кв. 33, вид. 7 (площа 4,0 га), кв. 33, вид. 16 (площа 2,7 га), кв. 33, вид. 17 (площа 2,2 га), кв. 33, вид. 19 (площа 7,7 га), кв. 33, вид. 20 (площа 0,4 га); кв. 34, вид. 9 (площа 1,2 га), кв. 34, вид. 12 (площа 3,1 га), кв. 34, вид. 13  (площа 16 га); кв. 42, вид. 2 (площа 1,7 га), кв. 42, вид. 3 (площа 7,2 га), кв. 42, вид. 4 (площа 6,9 га); кв. 43, вид. 1 (площа    1,2 га), кв. 43, вид. 3 (площа 4,6 га), кв. 43, вид. 4 (площа  4,6 га),     кв. 43, вид. 15 (4, площа  27,6 га), кв. 43, вид. 16 (площа  1,3 га),      кв. 43, вид. 17 (площа  8,1 га), кв. 43, вид. 18 (площа  0,3 га), кв. 43, вид. 19 (площа  0,3га); кв. 44, вид. 1 (площа  0,4 га), кв. 44, вид. 2 (площа  1,2 га), кв. 44, вид. 3 (площа  5,7 га), кв. 44, вид. 9 (площа  14,7 га), кв. 44, вид. 16 (площа  1,4 га), кв. 44, вид. 17 (площа  2,8 га).";ДП «Новоград-Волинське ДЛМГ»;Рішення XII сесії Житомирської обласної ради VI скликання від 22.11.12 № 718 «Про створення нових і зміну меж існуючих  об’єктів природно-заповідного фонду місцевого значення»
15;Партизанський;заказник;ландшафтний;22,9;Новоград-Волинський район, ДП «Новоград-Волинське ДЛМГ», Пищівське лісництво, кв. 35, вид. 3 (площа 9,2 га), кв. 35, вид. 8 (площа 5,8 га), кв. 35, вид. 9 (площа 6,0 га), кв. 35, вид. 15 (площа  1,9 га);ДП «Новоград-Волинське ДЛМГ»;Рішення XII сесії Житомирської обласної ради VI скликання від 22.11.12 № 718 «Про створення нових і зміну меж існуючих  об’єктів природно-заповідного фонду місцевого значення»
;Разом заказників ландшафтних;15;;15776,06;;;
16;Андрушівський ліс-1;заказник;лісовий;2,8;Андрушівський р-н, ДП “Попільнянське ЛГ”, Андрушівське лісництво, кв.69, вид.2; ДП “Попільнянське ЛГ”;Рішення облвиконкому від 03.12.1982 р. №489
17;Андрушівський ліс-2;заказник;лісовий;2,8;Андрушівський р-н,  ДП “Попільнянське ЛГ”, Андрушівське лісництво, кв. 53, вид. 8; ДП “Попільнянське ЛГ”;Рішення облвиконкому від 03.12.1982 р. №489
18;Баньки;заказник;лісовий;1339;"Олевський р-н., ДП “Олевське ЛГ” , Олевське лісництво, кв. 10, 14, 15, 17, 22, 31, 41; Сновидовицьке лісництво, кв. 40, 41, 46, 47, 48, 54"; ДП “Олевське ЛГ”;Рішення 14 сесії обласної ради XXIII скликання від 04.07.2000 р.
19;Баранівський;заказник;лісовий;550;Баранівський р-н, ДП “Баранівське ЛМГ”, Баранівське лісництво, кв. 34, 35, 36, 37, 48, 49, 50, 51; ДП “Баранівське ЛМГ” ;Рішення дев’ятої сесії обласної ради XXII скликання від 22.11.1997 р.
20;Березовий;заказник;лісовий;36;Овруцький р-н, ДП “Словечанське ЛГ”, Можарівське лісництво, кв. 78, вид. 10, 11, 16, 18, Нагорянське лісництво, кв. 61, вид. 7, 17, кв. 68, вид. 6; ДП “Словечанське ЛГ” ;Рішення 14 сесії обласної ради XXIII скликання від 04.07.2000 р.
21;Білоко-ровицький;заказник;лісовий;18;Олевський р-н,  ДП “Білокоровицьке ЛГ”, Білокоровицьке лісництво, кв. 72, вид. 27;  ДП “Білокоровицьке ЛГ”;Рішення облвиконкому від 23.12.1991 р. №360
22;Ботанічна;заказник;лісовий;0,6;Новоград-Волинський р-н, ДП “Новоград-Волинське ДЛМГ”, Піщівське лісництво, кв. 96, вид.11;  ДП “Новоград-Волинське ДЛМГ”;Рішення облвиконкому від  20.11.1967 р. № 610
23;Будки;заказник;лісовий;444;Ємільчинський р-н,  ДП “Ємільчинське ЛГ”, Ємільчинське лісництво, кв. 28, 29, 36, 37; ДП “Ємільчинське ЛГ”  ;Рішення облвиконкому від 01.02.1988 р. № 27
24;Бучина;заказник;лісовий;2;Любарський р-н, ДП “Бердичівське ЛГ”, Любарське лісництво, кв. 14, вид. 27; ДП “Бердичівське ЛГ” ;Рішення облвиконкому від 07.03.1991 р. № 68
25;Верчова ділянка;заказник;лісовий;2;Олевський р-н,  ДП “Олевське ЛГ”, Юрівське лісництво, кв. 14, вид. 6; ДП “Олевське ЛГ”  ;Рішення облвиконкому від 23.12.1991 р. № 360
26;Гута;заказник;лісовий;77;"Радомишльський р-н, ДП “Радомишльське ЛМГ”, Радомишльське лісництво, кв. 49, вид. 11; кв. 50, вид. 24; кв.51, вид. 31";  ДП “Радомишльське ЛМГ”;Рішення облвиконкому від 23.12.1991 р. № 360
27;Даньов;заказник;лісовий;226;Ємільчинський р-н,  ДП “Ємільчинське ЛГ”, Глумчанське лісництво, кв. 46, 52; ДП “Ємільчинське ЛГ”;Рішення облвиконкому від 07.03.1991 р. № 68
28;Дивлинський;заказник;лісовий;220,4;Лугинський р-н, ДП “Лугинське ЛГ”,  Дивлинське лісництво, кв. 25, 26; ДП “Лугинське ЛГ”   ;Рішення облвиконкому від 23.12.1991 р. № 360
29;Діброва лісничого Вронського;заказник;лісовий;5,5;Житомирський р-н, ДП “Житомирське ЛГ”, Корабельне лісництво, кв. 20, вид. 8;  ДП “Житомирське ЛГ”;Рішення облвиконкому від 07.03.1991 р. № 68
30;Жубровицький;заказник;лісовий;26,2;"Олевський р-н, ДП “Білокоровицьке ЛГ”, Жубровицьке лісництво, кв.38, вид. 1; кв.39, вид.9"; ДП “Білокоровицьке ЛГ”   ;Рішення облвиконкому від 23.12.1991 р. № 360
31;Забране;заказник;лісовий;31,7;"Коростенський р-н, ДП “Коростенське ЛМГ”, Шершнівське лісництво, кв. 75, вид. 21; кв. 80, вид. 1, 2, 3, 4, -7";  ДП “Коростенське ЛМГ”;Рішення облвиконкому від 23.12.1991 р. № 360
32;Зривисько;заказник;лісовий;105;Чуднівський р-н, Житомирський військовий лісгосп, Чуднівське військове лісництво, кв. 4, 17;Житомирський військовий лісгосп;Рішення 7 сесії 24 скликання обласної ради від 23.04.2003 № 207
33;Замок Терещенка;заказник;лісовий;22,1;Житомирський р-н, ДП “Житомирське ЛГ” , Тригірське лісництво, кв. 9, вид. 1-5, 7, 8;  ДП “Житомирське ЛГ”;Рішення облвиконкому від 23.12.1991 р. № 360
34;Коршомка;заказник;лісовий;408,2;"Чуднівський р-н, Житомирський військовий лісгосп, Чуднівське лісництво, кв. 5-8; кв. 18, вид. 1-8; кв. 19, вид. 1-8, кв. 20, вид. 21";Житомирський військовий лісгосп;Рішення 7 сесії 24 скликання обласної ради від 23.04.2003 № 207
35;Кам’яна гірка;заказник;лісовий;5,8;Овруцький р-н,  ДП “Словечанське ЛГ”, Кованське лісництво, кв. 36, вид. 29; ДП “Словечанське ЛГ”  ;Рішення облвиконкому від 31.03.1984 р. №149
36;Ліс над Случчю;заказник;лісовий;26,8;Новоград-Волинський р-н, ДП «Городницьке ЛГ», Дзержинське л-во, кв. 13, вид. 4, 8-11;ДП «Городницьке ЛГ»;Рішення 16 сесії обласної ради п’ятого скликання від 15.08.08  № 642 «Про утворення об’єктів природно-заповідного фонду місцевого значення»
37;Лугинські дубняки;заказник;лісовий;150;"Лугинський р-н,  ДП “Лугинське ЛГ”   , Лугинське лісництво, кв. 63, 64,  вид. 5, 6, 10, 11, 18, 20, 26; кв. 73, вид. 3, 7, 8, 24; кв.74, вид. 2 "; ДП “Лугинське ЛГ”   ;Рішення сесії обласної ради XXII скликання   від 03.03.1995 р. 
38;Микитче ;заказник;лісовий;3298,8;"Олевський р-н,  ДП “Олевське ЛГ”, Журжевицьке лісництво,  кв .  44,  45, 47, 48, 49, 51, 53-,60;  Хочинське лісництво, кв. 51, вид. 19-25; кв. 52; кв. 56, вид. 7-15;       кв. 58, 63, 64, 65, 69; Юрівське лісництво, кв. 1-4, 6-8, 12, 13"; ДП “Олевське ЛГ”  ;Рішення 11 сесії 23 скликання облради від 29.11.2001
39;Михеївський;заказник;лісовий;35;Новоград-Волинський р-н,  ДП “Городницьке ЛГ”, Дзержинське лісництво, кв. 50, вид. 10;  ДП “Городницьке ЛГ”;Рішення облвиконкому від 23.12.1991 р. № 360
40;Над Тетеревом;заказник;лісовий;34,8;"Житомирський  р-н,  землі КЕЧ Житомирського  р-ну, Тригірське лісництво, кв. 13, вид. 24, 25, 30; кв.18, вид. 2, 3, 4; кв.19, вид. 1, 2, 3, 4, 7; кв. 20, вид. 1."; ДП “Житомирське ЛГ”;Рішення облвиконкому від 23.12.1991 р. № 360
41;Нехворощ;заказник;лісовий ;33;Андрушівський р-н,  ДП “Попільнянське ЛГ”, Андрушівське лісництво, кв. 90, вид. 2; ДП “Попільнянське ЛГ” ;Рішення облвиконкому від 03.12.1982 р. № 489
42;Олевський;заказник;лісовий;99;Олевський р-н,  ДП “Олевське ЛГ”, Олевське лісництво, кв. 16, вид. 6; ДП “Олевське ЛГ”   ;Рішення облвиконкому від 23.12.1991 р.  № 360
43;Поломи;заказник;лісовий;347;Ємільчинський р-н,  ДП “Ємільчинське ЛГ”, Корольовське лісництво, кв. 7, 13, 19; ДП “Ємільчинське ЛГ” ;Рішення облвиконкому від 97.03.1991 р. № 68
44;Попільнянський ліс;заказник;лісовий;5,8;Попільнянський р-н,  ДП “Попільнянське ЛГ”, Попільнянське лісництво, кв. 20, вид.12;  ДП “Попільнянське ЛГ”;Рішення облвиконкому від 20.11.1967 р. № 610
45;Путівець;заказник;лісовий;5,3;Олевський р-н,  ДП “Білокоровицьке ЛГ”, Радовельське лісництво, кв. 31, вид. 8, 23, 27, 28; ДП “Білокоровицьке ЛГ”    ;Рішення облвиконкому від 23.12.1991 р. №360
46;Радого-щанський;заказник;лісовий;152;Лугинський р-н,  ДП “Лугинське ЛГ”,  Літківське лісництво, кв. 14; ДП “Лугинське ЛГ”   ;Рішення сесії обласної ради . XXII скликання   від 03.03.1995 р 
47;Радо-мишльський;заказник;лісовий;166,4;" Радомишльський р-н,  ДП “Радомишльське ЛМГ”, Радомишльське лісництво,      кв. 7, вид. 30, 31; кв. 11, вид.1, 2, 7; кв. 12, вид. 1- 7; кв. 13, вид. 17, 13; кв. 24, вид. 5; кв. 25, вид. 1-6."; ДП “Радомишльське ЛМГ”  ;Рішення облвиконкому від 23.12.1991 р. № 360
48;Сапожинський;заказник;лісовий;100,1;"Новоград-Волинський р-н,  ДП “Городницьке ЛГ”, Дзержинське лісництво, кв. 71, вид. 7, 10; кв. 72, вид. 1"; ДП “Городницьке ЛГ” ;Рішення облвиконкому від 23.12.1991 р. № 360
49;Словечанський кряж;заказник;лісовий;18230;" Овруцький  р-н,  ДП “Словечанське ЛГ”,  Кованське лісництво, кв. 1-5, 15, 22, 23, 30-32, 35-40, 44, 45; Городецьке лісництво, кв. 7, 8, 13, 16-19,  22, 23, 29-32, 37, 39-42, 43-48, 50-56,  Листвинське лісництво, кв., 1-7, 15-17, 22-24, 31-33, 42, 43, 73, 77-82, Усівське лісництво, кв. 1, 2, 6-10, 17-19, 26-28, 30, 31, 36, 37, 42, 50, 52-80, Велідницьке лісництво, кв. 23, 24, 34, 35, 43, 44, 52-55, 64-66, 75, 82, 84, 86-98, Тхоринське лісництво, кв. 1, 3-31."; ДП “Словечанське ЛГ”    ;Рішення Ш сесії 23 скликання обласної ради від 17.09.1998 р.
50;Старі Гарти;заказник;лісовий;159;Ємільчинський р-н,  ДП “Ємільчинське ЛГ”, Гартівське лісництво, кв. 8, 9; ДП “Ємільчинське ЛГ”  ;Рішення облвиконкому від 01.02.1988 р. № 27
51;Старочуд-нівський;заказник;лісовий;4,6; Романівський р-н, ДП “Баранівське ЛМГ”, Биківське лісництво, кв. 75, вид.7; ДП “Баранівське ЛМГ” ;Рішення облвиконкому від 23.12.1991 р. № 360
52;Стовпинський;заказник;лісовий;67,1;"Олевський р-н,  ДП “Білокоровицьке ЛГ”, Жубровицьке лісництво, кв. 3, вид. 34; кв. 11, вид. 3, 12"; ДП “Білокоровицьке ЛГ”     ;Рішення облвиконкому від 23.12.1991 р. №360
53;Сторожівський;заказник;лісовий;0,4;Новоград-Волинський р-н,  ДП “Городницьке ЛГ”, Дзержинське лісництво, кв. 55, вид.8; ДП “Городницьке ЛГ”  ;Рішення облвиконкому від 23.12.1991 р. № 360
54;Тересини;заказник;лісовий;2189,7;"Олевський р-н, ДП “Олевське ЛГ”, Олевське лісництво, кв. 62, 63, 64, 69,70, 71, 72 (вид. 1 – пл. 0,6 га); Кам’янське лісництво, кв. 4, 5, 6, 7, 10, 11, 12, 13, 14, 17, 18, 22, 29, 35"; ДП “Олевське ЛГ”     ;" Рішення 14 сесії облради 23 скликання від 04.07.2000 р. «Про території та об’єкти природно-заповідного фонду місцевого значення» (площа – 2184 га). Розширено рішенням XXI сесії Житомирської обласної ради V скликання від 09.09.09 № 883 «Про утворення та розширення об’єктів природно-заповідного фонду місцевого значення» (площа – 2189,4га; розширено з 2184 га до 2189,4 га). Розширено рішенням XXIV сесії Житомирської обласної ради V скликання від 11.05.10 № 1084 «Про зміну меж об’єктів природно-заповідного фонду місцевого значення» з 2189,4 га до 2189,7 га"
55;Турейка;заказник;лісовий;4;Лугинський р-н,  ДП “Лугинське ЛГ”, Лугинське лісництво, кв. 86, вид. 3, 10, 11, 12, 14, 15; ДП “Лугинське ЛГ”    ;Рішення сесії обласної ради XXII скликання   від 03.03.1995 р. 
56;Урочище камінь;заказник;лісовий;39;Романівський р-н, ДП “Дзержинський лісгосп АПК”, кв. 51;ДП “Дзержинський лісгосп АПК”;Рішення 7 сесії 24 скликання обласної ради від 23.04.2003 № 207
57;Харкові круги;заказник;лісовий;29,7;Олевський р-н,  ДП “Олевське ЛГ”, Юрівське лісництво, кв. 42, вид. 19, 21, 24, 42; ДП “Олевське ЛГ”       ;Рішення облвиконкому від 23.12.1991 р.  № 360
58;Чорний бусел;заказник;лісовий;84;Олевський р-н,  ДП “Олевське ЛГ”, Юрівське лісництво, кв. 46, вид.1; ДП “Олевське ЛГ”       ;Рішення облвиконкому від 23.12.1991 р. №360
59;Юзиховка;заказник;лісовий;439;Ємільчинський р-н,  ДП “Ємільчинське ЛГ”, Жужельське лісництво, кв. 72, 73, 79, 80, Кочичинське лісництво, кв. 70, 72; ДП “Ємільчинське ЛГ”  ;Рішення облвиконкому від 01.02.1988 р. № 27
60;Яремів ліс;заказник;лісовий;70;"Червоноармійський р-н,  ДП “Червоноармійський лісгосп АПК”, кв. 3, вид. 19-25; кв. 4, вид. 16-20, 24-45  "; ДП “Червоноармійський лісгосп АПК”;Рішення сесії обласної ради XXII скликання   від 03.03.1995 р. 
61;Острів ;заказник;лісовий;189,5;Малинський р-н, ДП “Малинське ЛГ”, Малинське лісництво, кв. 13, 14, 19 (вид. 6,7,8,9,10,16,18), 20, 21, 22;ДП “Малинське ЛГ”;Рішення 21 сесії обласної ради п’ятого скликання від 09.09.09  № 883 «Про утворення та розширення  об’єктів природно-заповідного фонду місцевого значення»
62;Межиріччя ;заказник;лісовий;274;Коростенський р-н, ДП «Коростенський лісгосп АПК», Коростенське лісництво, кв. 16 (вид. 7, 11, 12, 13, 14, 16), кв. 17, кв. 21;ДП «Коростенський лісгосп АПК»;Рішення 25 сесії Житомирської обласної ради п’ятого скликання від 11.06.10 № 1138 «Про утворення об’єктів природно-заповідного фонду місцевого значення»
