№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
1.;Рибне;заказник;лісовий ;4;Дарницький район;Дарницьке ЛПГ;Спільне рішення виконкомів міської та обласної Рад від 10.04.78р. №522/173
2.;Березовий гай;заказник;лісовий ;2;Деснянський район;Дарницьке ЛПГ;Спільне рішення виконкомів міської та обласної Рад від 10.04.78р. №522/173
3.;Біла діброва;заказник;лісовий;3;Деснянський район;Деснянський район;Спільне рішення виконкомів міської та обласної Рад від 10.04.78р. №522/173
4.;Межигірське;заказник;лісовий;5;Оболонський район;Святошинське ЛПГ;Спільне рішення виконкомів міської та обласної Рад від 10.04.78р. №522/173
5.;Дачне;заказник;лісовий;6;Голосіївський район;РЛП “Голосіївський”;Спільне рішення виконкомів міської та обласної Рад від 10.04.78р. №522/173
6.;“Межигірсько-Пуща-Водицький”;заказник;лісовий;1987;Оболонський;КП “Святошинське ЛПГ”;Рішення Київради від 27.10.05 №255/3716
;Разом заказників лісових;6;;2007;;;
1; „Березовий гай”;заказник;іхтіологічний;31;Оболонський район;ДКП “Плесо”;Рішення Київради від 17.02.94р. №14
;Разом заказників іхтіологічних;1;;31;;;
1;Лівий беріг оз. Конча;заказник;ландшафтний;80;Голосіївський район;Київський держлісгосп;Розп. Київської міськдержадміністрації від 14.10.97р. №1628
2;Жуків острів;заказник;ландшафтний;361;Голосіївський район;РЛП “Голосіївський”;Рішення Київради від 02.12.99р. №147/649
3;Муромець- Лопуховате;заказник;ландшафтний;217;Деснянський район;Дарницьке ЛПГ;Рішення Київради від 24.10.02р. №96/256 Рішення Київради від 06.10.2005р. №35/3499 та від 27.12.2007 №1532/4365
4;“Пляхова”;заказник;ландшафтний;100;Деснянський р-н;Дарницьке ЛПГ;Рішення Київради від 12.02.04 №22/1231
5;“Пуща-Водиця”;заказник;ландшафтний ;563,2;Оболонський район;Святошинське ЛПГ;Рішення Київради від 24.10.02р. №96/256 Рішення Київради від 06.10.2005р. №35/3499 та від 27.12.2007 №1532/4365
;Разом заказників ландшафтних;5;;1321,2;;;
1;Бобровня ;заказник;загально зоологічний;32;Деснянський район;КП УЗН Деснянського району;Рішення Київради від 02.12.99р. №147/649
2;Острови Козачий та Ольгин;заказник;загально зоологічний;470;Голосіївський район;Голосіївська РДА;Рішення Київради від 02.12.99р. №147/649
3;Річка Любка ;заказник;загально зоологічний;163;Святошинський район;Святошинське ЛПГ;Рішення Київради від 24.10.02р. №96/256 Рішення Київради від 06.10.2005р. №35/3499 та від 27.12.2007 №1532/4365
;Разом заказників загально-зоологічних;3;;665;;;
;Всього заказників місцевого значення;15;;4024,2;;;
1.;Юннатський;дендропарк;-;13,7;Подільський р-н;Національний еколого-натуралістичний центр учнівської молоді України;Рішення Київради від 09.03.06 №169/3260
;Всього дендропарків місцевого значення;1;;13,7;;;
1.;Золотоворітський сквер;пам`ятка природи;ботанічна;0,6;Шевченківський район;КП УЗН Шевченківського району;Рішення виконкому міськради від 20.03.72р. №363
2.;Бульвар Шевченка;пам`ятка природи;ботанічна;3;Шевченківський район;КП УЗН Шевченківського району;Рішення виконкому міськради від 20.03.72р. №363
3.;Віковий дуб;пам`ятка природи;ботанічна;;Печерський район вул.. Суворова;КП УЗН Печерського району;Рішення виконкому міськради від 20.03.72р. №363
4.;Вікові дуби і липи;пам`ятка природи;ботанічна;;Шевченківський район пров. Делегатський;КП УЗН Шевченківського району;Рішення виконкому міськради від 20.03.72р. №363
5.;Вікові дуби, липи та каштани;пам`ятка природи;ботанічна;;Подільський район вул.. Вишгородська;СТ “Троянда”;Рішення виконкому міськради від 20.03.72р. №363
6.;Вікова липа;пам`ятка природи;ботанічна;;Шевченківський район  вул.. Володимирська;КП УЗН Ш евченківського району;Рішення виконкому міськради від 20.03.72р. №363
7.;Вікові дуби;пам`ятка природи;ботанічна;;Подільський район вул. Вишгородська,51;КП УЗН Подільського району;Рішення виконкому міськради від 20.03.72р. №363
8;Вікові липи і каштани;пам`ятка природи;ботанічна;;Печерський район Києво-Печерська Лавра;Києво-Печерський історико-культурний заповідник;Рішення виконкому міськради від 20.03.72р. №363
9.;Вікові липи, ясени і каштани;пам`ятка природи;ботанічна;;Шевченківський район  вул.. Володимирська;КП УЗН Шевченківського району;Рішення виконкому міськради від 20.03.72р. №363
10.;Віковий каштан;пам`ятка природи;ботанічна;;Голосіївський район  вул.. Китаївська;КП УЗН Голосіївського району;Рішення Київради від 17.02.94р. №14
11.;Віковий дуб;пам`ятка природи;ботанічна;;Голосіївський район  вул.. Кащенка;КП УЗН Голосіївського району;Розпорядження КМДА від 14.10.97р. №1628
12.;Природний об”єкт цілини;пам`ятка природи;ботанічна;0,5;Голосіївський район  вул. Червонопрапорна,76;КП УЗН Голосіївського району;Розпорядження КМДА від 14.10.97р. №1628
13.;Вікові дерева софори японської;пам`ятка природи;ботанічна;;Голосіївський район  вул.. Китаївська,32;Інститут садівництва УААН;Розпорядження КМДА від 14.10.97р. №1628
14.;Вікові дуби;пам`ятка природи;ботанічна;3;Голосіївський район Головна астрономічна обсерваторія НАНУ;Головна астрономічна обсерваторія НАНУ;Розпорядження КМДА від 14.10.97р. №1628
15.;Віковий дуб Крістера;пам`ятка природи;ботанічна;;Подільський район вул. Осиповського,3;КП УЗН Подільського району;Розпорядження КМДА від 14.10.97р. №1628
16.;Ялиця Крістера;пам`ятка природи;ботанічна;;Подільський район вул..Осиповського, 2-а;КП УЗН Подільського району;Розпорядження КМДА від 14.10.97р. №1628
17.;Платан Кащенка;пам`ятка природи;ботанічна;;Шевченківський район  вул.Мельникова,36;КП УЗН Шевченківського району;Розпорядження КМДА від 14.10.97р. №1628
18.;Віковий дуб “Бай-Бай”;пам`ятка природи;ботанічна;;Оболонський район;Святошинське ЛПГ;Розпорядження КМДА від 14.10.97р. №1628
19.;Колекція лісовода Вінтера;пам`ятка природи;ботанічна;0,3;Оболонський район;Святошинське ЛПГ;Розпорядження КМДА від 14.10.97р. №1628
20.;Група дерев ялини звичайної;пам`ятка природи;ботанічна;;Святошинський район 15 км. Житомирського шосе сад. діл. №52;Сидоренко Г.І.;Розпорядження КМДА від 14.10.97р. №1628
21.;Лісове урочище Крістерів;пам`ятка природи;ботанічна;0,7;Подільський район вул..Осиповського, 2-а;Інститут харчової хімії;Розпорядження КМДА від 14.10.97р. №1628
22.;Вікові дерева дуба і сосни;пам`ятка природи;ботанічна;;Деснянський район кв.51-1, 33-10, 59-23, 70-6 Броварського л-ва;Дарницьке ЛПГ;Розпорядження КМДА від 15.01.99р. №57
23.;Вікові дерева дуба;пам`ятка природи;ботанічна;;Голосіївський район Дачне л-во кв.51-2, кв.6-47,29;РЛП “Голосіївський”;Розпорядження КМДА від 15.01.99р. №57
25.;Віковий дуб;пам`ятка природи;ботанічна;;Подільський район з.п. “Рубежівський”;КП УЗН Подільського р-у;Розпорядження КМДА від 15.01.99р. №57
27.;Вікове дерево груші;пам`ятка природи;ботанічна;;Святошинський район вул.. Львівська,74;КП УЗН Святошинського району;Розпорядження КМДА від 15.01.99р. №57
28.;Вікове дерево туї західної;пам`ятка природи;ботанічна;;Святошинський район вул.. Львівська,72;КП УЗН Святошинського району;Розпорядження КМДА від 15.01.99р. №57
29;Вікове дерево ясена;пам`ятка природи;ботанічна;;Печерський район вул.. Січневого повтання,29;БУ-15 КЕВ Міноборони України;Розпорядження КМДА від 15.01.99р. №57
30.;Вікове дерево акації;пам`ятка природи;ботанічна;;Святошинський район пр.Перемоги, 73-а;ДП “Веркон ЖКП”;Розпорядження КМДА від 15.01.99р. №57
31.;Група вікових дерев дуба;пам`ятка природи;ботанічна;;Голосіївський район ур. Теремки кв.34-13,19;НДГ Інституту зоології НАН України;Рішення Київради від 02.12.99р. №147/649
32.;Група вікових дерев береки;пам`ятка природи;ботанічна;;Печерський район вул. Банкова,2;КП УЗН Печерського району;Рішення Київради від 02.12.99р. №147/649
33.;Вікове дерево клена-явора;пам`ятка природи;ботанічна;;Печерський район вул. Щорса,2;Головний військовий клін. Госпіталь;Рішення Київради від 02.12.99р. №147/649
34.;Група вікових дерев тополі білої;пам`ятка природи; ботанічна;;Печерський район вул. Щорса,2;Головний військовий клін. Госпіталь;Рішення Київради від 02.12.99р. №147/649
36.;Група дерев бука лісового;пам`ятка природи;ботанічна;;Дніпровський район парк “Перемога”;КП УЗН Дніпровського району;Рішення Київради від 02.12.99р. №147/649
37.;Віковий велетенський екземпляр тополі чорної;пам`ятка природи;ботанічна;;Дніпровський район Гідропарк;КП УЗН Дніпровського району;Рішення Київради від 02.12.99р. №147/649
39.;Старий дубовий гай;пам`ятка природи;ботанічна;0,3;Солом”янський район  вул. Борщагівська,141;КП УЗН Солом”янського району;Рішення Київради від 02.12.99р. №147/649
40.;Дуб-довгожитель;пам`ятка природи;ботанічна;;Солом”янський район  вул. Індустріальна, 2;КП УЗН Солом”янського району;Рішення Київради від 02.12.99р. №147/649
41.;Віковий дуб-красень;пам`ятка природи;ботанічна;;Подільський район, вул. Вишгородська.39;Інститут ендокринології АМН України;Рішення Київради від 02.12.99р. №147/649
42.;Дендропарк ім. Ак. Богомольця;пам`ятка природи;ботанічна;0,75;Печерський район вул. Ак.Богомольця,4;Інститут фізіології ім.. О.Богомольця;Рішення Київради від 02.12.99р. №147/649
43.;Крістерова гірка;пам`ятка природи;ботанічна;4,3;Подільський район вул. Осиповського,1;СТ “Троянда”;Рішення Київради від 30.01.01р. №189/1166
44.;Вікове дерево дуба-красеня;пам`ятка природи;ботанічна;;Дарницький район Харківське шосе – вул. Вербицького ;КП УЗН Дарницького району;Рішення Київради від 30.01.01р. №189/1166
45.;Група екзотичних дерев платана та смереки;пам`ятка природи;ботанічна;;Шевченківський район вул. Хрещатик, 36;КП УЗН Шевченківського району;Рішення Київради від 30.01.01р. №189/1166
46.;Багатовікове дерево дуба звичайного;пам`ятка природи;ботанічна;;Подільський район вул. Вишгородська, 69;Інститут ендокринології АМН України;Рішення Київради від 30.01.01р. №189/1166
47.;Дубовий гай з природною водоймою;пам`ятка природи;ботанічна;1,8;Шевченківський район  пр. Перемоги,86;КП УЗН Шевченківського району;Рішення Київради від 30.01.01р. №189/1166
48.;Байкова гора;пам`ятка природи;ботанічна;1,1;Солом”янський район  узвіз Протасів Яр;КП УЗН Солом”янського району;Рішення Київради від 30.01.01р. №189/1166
49.;Алея вікових дубів;пам`ятка природи;ботанічна;0,1;Голосіївський р-н;Музей народної архітетури та побуту України;Рішення Київради від 12.02.04 №22/1231
50.;Величавий дуб;пам`ятка природи;ботанічна;;Святошинський р-н;ВАТ “Веркон”;Рішення Київради від 12.02.04 №22/1231
52.;Партизанський дуб;пам`ятка природи;ботанічна;;вул. Червонопартизанська,1;р-ну;Рішення Київради від 23.12.04
53.;Віковий ясен у пров.Лабораторному;пам`ятка природи;ботанічна;;Пров. Лабораторний, 18;Київська міська клін.лікарня №17;Рішення Київради від 23.12.04
57.;Сирецький дуб;пам`ятка природи;ботанічна;;Шевченківський район вул.. Черкаська,11;КП УЗН Шевченківського району;Рішення Київради від 17.07.2008 №19/19
58.;Софіївські довгожителі;пам`ятка природи;ботанічна;;"Шевченківський район територія Національного заповідника ""Софія Київська""";"Національний історико-культурний заповідник ""Софія Київська""";Рішення Київради від 17.07.2008 №19/19
59.;Велетень заплави;пам`ятка природи;ботанічна;;Деснянський район    вул.. О.Бальзака;КП УЗН Деснянського району;Рішення Київради від 17.07.2008 №19/19
60.;Гнілецька верба;пам`ятка природи;ботанічна;;Деснянський район    вул.. Деснянська;КП УЗН Деснянського району;Рішення Київради від 17.07.2008 №19/19
61.;Козацька верба;пам`ятка природи;ботанічна;;Деснянський район    вул.. Димитрова ;КП УЗН Деснянського району;Рішення Київради від 17.07.2008 №19/19
62;Фортечні ясени;пам`ятка природи;ботанічна;;Печерський район    пров. Лабораторний ;Київська міська клінічна лікарня №17;Рішення Київради від 17.07.2008 №19/19
63;Татарський дуб;пам`ятка природи;ботанічна;;Шевченківський район, вул.. Нагірна,12;КП УЗН Шевченківського району ;Рішення Київради від 23.04.2009 №326/1382
64;Дуб Стеценка;пам`ятка природи;ботанічна;;Шевченківський район, вул. Саратовська,63;КП УЗН Шевченківського району;Рішення Київради від 23.04.2009 №326/1382
65;Перунів дуб;пам`ятка природи;ботанічна;;"Солом""янський район, вул.. Курська,3";"КП УЗН Солом""янського району";Рішення Київради від 23.04.2009 №326/1382
66;Черешні Бурдзинського;пам`ятка природи;ботанічна;;Шевченківський район, просп.. Перемоги,32;Київський зоологічний парк;Рішення Київради від 23.04.2009 №326/1382
67;Платан Стачинського;пам`ятка природи;ботанічна;;Шевченківський район, просп.. Перемоги,32;Київський зоологічний парк;Рішення Київради від 23.04.2009 №326/1382
68;Ясен Шарлеманя;пам`ятка природи;ботанічна;;Шевченківський район, просп.. Перемоги,32;Київський зоологічний парк;Рішення Київради від 23.04.2009 №326/1382
69;Тополі Бурдзинського;пам`ятка природи;ботанічна;;Шевченківський район, просп.. Перемоги,32;Київський зоологічний парк;Рішення Київради від 23.04.2009 №326/1382
70;Липа Феодосія Печерського;пам`ятка природи;Ботанічна;;вул.. Січневого повстання, 25, корп. 25;Свято-Печерська Києво-Печерська Лавра;Рішення Київради від 27.11.2009 №713/2782
71;Дуб Грюнвальда;пам`ятка природи;Ботанічна;;Конча-Заспа, 27 км Столичного шосе;"Клінічний санаторій ""Жовтень""";Рішення Київради від 27.11.2009 №713/2782
72;Чарівні дуби;пам`ятка природи;Ботанічна;;Конча-Заспа, 27 км Столичного шосе;"Клінічний санаторій ""Жовтень""";Рішення Київради від 27.11.2009 №713/2782
73;Дуби Фролькіса;пам`ятка природи;Ботанічна;;вул. Вишгородська,67 ;Інститут геронтології АМН України;Рішення Київради від 27.11.2009 №713/2782
74;Каштан Воїнственського;пам`ятка природи;Ботанічна;;вул. Б. Хмельницького15/2;Інститут зоології НАН України;Рішення Київради від 27.11.2009 №713/2782
75;Метасеквойя;пам`ятка природи;Ботанічна;;вул. Лебедєва, 1;Інститут ботаніки НАН України;Рішення Київради від 27.11.2009 №713/2782
76;Клени Яворницького;пам`ятка природи;Ботанічна;;просп. Перемоги,73/1;"КП ""Ремонтно-експлуатаційна організація – 10""";Рішення Київради від 27.11.2009 №713/2782
77;Дуби 6-го листопада;пам`ятка природи;Ботанічна;;вул. Кобзарська, 25;КП УЗН Подільського району;Рішення Київради від 27.11.2009 №713/2782
78;Клен Казакова;пам`ятка природи;Ботанічна;;вул. Тімірязєвська, 1;НБС НАН України;Рішення Київради від 27.11.2009 №713/2782
79;Дуби Козловського;пам`ятка природи;Ботанічна;;вул. Тімірязєвська, 1;НБС НАН України;Рішення Київради від 27.11.2009 №713/2782
80;Каштани Гришка;пам`ятка природи;Ботанічна;;вул. Тімірязєвська, 1;НБС НАН України;Рішення Київради від 27.11.2009 №713/2782
81;Липи Богуна;пам`ятка природи;Ботанічна;;вул. Тімірязєвська, 1;НБС НАН України;Рішення Київради від 27.11.2009 №713/2782
82;Платани Ліпського;пам`ятка природи;Ботанічна;;вул. Тімірязєвська, 1;НБС НАН України;Рішення Київради від 27.11.2009 №713/2782
83;Бук Бурачинського;пам`ятка природи;Ботанічна;;вул. Тімірязєвська, 1;НБС НАН України;Рішення Київради від 27.11.2009 №713/2782
84;Дуб Січових стрільців;пам`ятка природи;Ботанічна;;вул. Генерала Родимцева, 9;Національний університет біоресурсів і природокористу-вання України (НУБіПУ);Рішення Київради від 27.11.2009 №713/2782
85;Дуби генерала Тарнавського;пам`ятка природи;Ботанічна;;вул. Генерала Родимцева, 2-4;НУБіПУ;Рішення Київради від 27.11.2009 №713/2782
86;Дуби Петра Могили;пам`ятка природи;Ботанічна;;вул. Генерала Родимцева, 19;НУБіПУ;Рішення Київради від 27.11.2009 №713/2782
87;Дуб Кирпоноса;пам`ятка природи;Ботанічна;;вул. Генерала Родимцева, 1а;НУБіПУ;Рішення Київради від 27.11.2009 №713/2782
88;Дуб Якуніна;пам`ятка природи;Ботанічна;;вул. Генерала Родимцева, 1а;НУБіПУ;Рішення Київради від 27.11.2009 №713/2782
89;Дуби Рильського;пам`ятка природи;Ботанічна;;вул. Генерала Родимцева, 9;НУБіПУ;Рішення Київради від 27.11.2009 №713/2782
90;Дуб Вєтрова;пам`ятка природи;Ботанічна;;вул.. Блакитного,8;НУБіПУ;Рішення Київради від 27.11.2009 №713/2782
91;Велика липа Сироти;пам`ятка природи;Ботанічна;;вул. Саперно-Слобідська,22;НУБіПУ;Рішення Київради від 27.11.2009 №713/2782
92;Святошин клен;пам`ятка природи;Ботанічна;;просп. Перемоги, 117;КП УЗН Святошинського району;Рішення Київради від 27.11.2009 №713/2782
93;Ясен Феофіла;пам`ятка природи;Ботанічна;;вул. Китаївська, 15/8;Київський еколого-культурний центр;Рішення Київради від 27.11.2009 №713/2782
94;Гінкго Пост-Волинське;пам`ятка природи;Ботанічна;;вул. Новопольова, 97;Київський еколого-культурний центр;Рішення Київради від 27.11.2009 №713/2782
95;Дуб Гуналі;пам`ятка природи;Ботанічна;;перетин вулиці Бестужева та провулку Бестужева;КП УЗН Подільського району;Рішення Київради від 27.11.2009 №713/2782
96;Дуб Красицького;пам`ятка природи;Ботанічна;;вул. Кобзарська, 43;КП УЗН Подільського району;Рішення Київради від 27.11.2009 №713/2782
97;Дуб Котова;пам`ятка природи;Ботанічна;;провул. Золочівський, 10;КП УЗН Подільського району;Рішення Київради від 27.11.2009 №713/2782
98;Дуб Янати;пам`ятка природи;Ботанічна;;провул. Золочівський, 4;КП УЗН Подільського району;Рішення Київради від 27.11.2009 №713/2782
99;Борщагівський дуб;пам`ятка природи;Ботанічна;;вул. Борщагівська,17/18;Київський еколого-культурний центр;Рішення Київради від 27.11.2009 №713/2782
100;Шовковиці Шевченка та Стуса;пам`ятка природи;Ботанічна;;вул. Тімірязєвська, 1;НБС НАН України;Рішення Київради          від 23.12.2010              № 415/5227
101;Тополя метробудівська;пам`ятка природи;Ботанічна;;вул. Німанська, 3-а;"КП ""Київський метрополітен""";Рішення Київради          від 23.12.2010              № 415/5227
102;Шевченків дуб;пам`ятка природи;Ботанічна;;перетин вул. Вишгородської та Білицької;КП УЗН Подільського району;Рішення Київради          від 23.12.2010              № 415/5227
103;Груша Іващенко;пам`ятка природи;Ботанічна;;просп. Науки, 16;Київський еколого-культурний центр;Рішення Київради          від 23.12.2010              № 415/5227
104;Дуб на синій воді;пам`ятка природи;Ботанічна;;"в межах ландшафтного заказника ""Жуків острів"" (на пн. Від дамби-по мосту через р. Віту, якою проходить дорога з вул. Лісничої у напрямку комплексу відпочинку ""Поплавок"" )";Київський еколого-культурний центр;Рішення Київради          від 23.12.2010              № 415/5227
105;Дуб Фролкіна;пам`ятка природи;Ботанічна;;вул. Антонова, 2/32, корпус 3;Київський еколого-культурний центр;Рішення Київради          від 23.12.2010              № 415/5227
106;Дуб Хорунженко;пам`ятка природи;Ботанічна;;вул. Тропініна, 5-а;гр. Заворотній А. І.;Рішення Київради          від 23.12.2010              № 415/5227
107;Дуб Шурун;пам`ятка природи;Ботанічна;;вул. Тираспольська, 2;Київський еколого-культурний центр;Рішення Київради          від 23.12.2010              № 415/5227
108;Голосіївські метасеквойї;пам`ятка природи;Ботанічна;;парк культури та відпочинку ім. М. Рильського;КП УЗН Голосіївського району;Рішення Київради          від 23.12.2010              № 415/5227
109;Шулявський дуб;пам`ятка природи;Ботанічна;;вул. Індустріальна, 10/37;Київський еколого-культурний центр;Рішення Київради          від 23.12.2010              № 415/5227
110;Дуб-хитрун;пам`ятка природи;Ботанічна;;пров. Делегатський, 3/5;Київський еколого-культурний центр;Рішення Київради          від 23.12.2010              № 415/5227
111;Шовковиця Шевченка;пам`ятка природи;Ботанічна;;пров. Шевченка, 8-а у Шевченківському районі м. Києва;Національний музей Тараса Шевченка;    Рішення Київради          від 01.12.2011   № 730/6966
112;Шовковиця Сковороди;пам`ятка природи;Ботанічна;;вул. Григорія Сковороди, 2 у Подільському районі м. Києва;Національний університет «Києво-Могилянська Академія»;Рішення Київради          від 01.12.2011   № 730/6966 
113;Дерева дерену Святослава Ярославича;пам`ятка природи;Ботанічна;;територія Святоуспенської Києво-Печерської лаври у Печерському районі м. Києва ;Святоуспенська Києво-Печерська лавра;Рішення Київради          від 01.12.2011   № 730/6966 
114;Старий дуб;пам`ятка природи;Ботанічна;;вул. Вишгородська, 85 а у Подільському районі м. Києва;Госпіталь ГУ МВС України у Київській області; Рішення Київради          від 01.12.2011   № 730/6966
115;Дуб Відун;пам`ятка природи;Ботанічна;;територія регіонального ландшафтного парку «Лиса гора»;Історико-архітектурна пам’ятка-музей «Київська фортеця»;Рішення Київради          від 01.12.2011   № 730/6966
116;Дуб Громашевського;пам`ятка природи;Ботанічна;;вул. Амосова, 5 у Солом’янському районі м. Києва;Київський інститут епідеміології та інфекційних захворювань ім. Л.В. Громашевського МОЗ України;Рішення Київради          від 01.12.2011   № 730/6966 
117;Дуб на Сетомлі;пам`ятка природи;Ботанічна;;вул. Танкова, 6 у Шевченківському районі м. Києва (територія парку «Нивки»);КП УЗН Шевченківського району;Рішення Київради          від 01.12.2011   № 730/6966 
118;Дуб Корольова;пам`ятка природи;Ботанічна;;вул. Академіка Янгеля, 14/1 у Солом’янському районі м. Києва;НТУ «КПІ»;Рішення Київради          від 01.12.2011   № 730/6966 
119;Гінкго Сікорського;пам`ятка природи;Ботанічна;;просп. Перемоги, 37 у Солом’янському районі м. Києва;НТУ «КПІ»;Рішення Київради          від 01.12.2011   № 730/6966
120;Дуби Екзюпері;пам`ятка природи;Ботанічна;;вул. Генерала Родимцева, 19 у Голосіївському районі м. Києва;Національний університет біоресурсів та природокористування;Рішення Київради          від 01.12.2011   № 730/6966 
121;Дуб Вітовта;пам`ятка природи;Ботанічна;;вул. Героїв Оборони, 13 у Голосіївському районі м. Києва;Національний університет біоресурсів та природокористування; Рішення Київради          від 01.12.2011   № 730/6966
122;Царський дуб;пам`ятка природи;Ботанічна;;Перетин 2-ї лінії та вул. Гамарника в Оболонського району м. Києва;КП УЗН Оболонського району;Рішення Київради          від 01.12.2011   № 730/6966 
;Разом пам`яток природи ботанічних;114;;16,45;;;
24.;Святе цілюще джерело;пам`ятка природи;гідрологічна;;Голосіївський район Голосіївське л-во ;РЛП “Голосіївський”;Розпорядження КМДА від 15.01.99р. №57
26.;Два водних джерела;пам`ятка природи;гідрологічна;;Голосіївський район Ур. “Феофанія”;ДЗГ “Феофанія”;Розпорядження КМДА від 15.01.99р. №57
35.;Верхнє озеро-ставок з Китаївського каскаду;пам`ятка природи;гідрологічна;;Голосіївський район вул.. Китаївська, 15;Київський держ. Науково-виробничий комбінат Мін АПК;Рішення Київради від 02.12.99р. №147/649
